,cagr_pct,cagr_pct,cagr_pct,cagr_pct,cagr_pct,cagr_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar
strategy,Annual Stop Loss,Decile 10%/10%,Fixed 100/100,Hybrid 10%/100,Hybrid 10%/100 (50% L/S),Monthly Stop Loss,Annual Stop Loss,Decile 10%/10%,Fixed 100/100,Hybrid 10%/100,Hybrid 10%/100 (50% L/S),Monthly Stop Loss,Annual Stop Loss,Decile 10%/10%,Fixed 100/100,Hybrid 10%/100,Hybrid 10%/100 (50% L/S),Monthly Stop Loss
model,,,,,,,,,,,,,,,,,,
CatBoost,15.546379769620899,1.8676605831261073,2.5825798742171946,4.194246915979338,4.62172723763421,16.232949589334456,0.0,-18.600324101594452,-14.229366053342638,-20.52791785500226,-12.085248203688126,-0.9941076669292356,2.3691030871203576,0.2640765490222311,0.3357474491881083,0.3851164684032394,0.5633409353600044,1.282942555085316
ElasticNet,6.9938068875021075,-0.2598953129887671,0.6541211920609635,3.7104111448658994,0.3874527785825199,5.508673256099406,0.0,-10.145888471197285,-24.609395247556822,-7.679079923669397,-17.52108194279106,-8.017025205511272,2.203658271982475,-0.05354570898556528,0.11927986191718415,0.49596302414317983,0.09194566999595981,0.5286360326300541
GP Symbolic,6.767006373964124,0.8500837494392233,1.6148396456061365,4.484192753481664,1.9948518130719295,3.426150822608931,-0.42301729639429664,-12.799741845474621,-17.60692237403799,-25.70627573169807,-6.582391673334459,-20.185953787066538,1.012883261189135,0.21357217875126047,0.25337444597079967,0.3883405891201321,0.39475649608161023,0.32569978161912233
LSTM,14.892192013003559,5.539487208906979,5.5869396485139555,6.837920600561409,4.951141578244012,13.741693351973726,0.0,-0.05332972262399422,-3.1398081557737463,-1.773336592403284,-0.9663340310276936,0.0,1.520730049766479,0.9054824073611931,0.7070484749163595,0.5729480895167205,0.6837775241209741,0.8802093861518807
LightGBM,12.78075791250657,0.46486812625365914,-1.2531842723739528,2.5870535775350145,2.527433910995147,12.412486355371133,-2.2685414010556033,-9.921778799460824,-31.51283484263426,-22.021288451929976,-11.947780509391258,-6.531216594670906,1.628856185154193,0.10654296840503547,-0.08619227862022076,0.25133318262418275,0.3898542855268098,1.0172416858206437
XGBoost,11.709942194346334,0.6898068254004741,-1.0215865706305505,3.800383700787613,2.1110494694876802,9.748538968098043,-5.343247192033099,-11.289240574816633,-31.36017592652359,-23.3139441088346,-15.353969061410725,-12.00382104599527,1.1330131267069485,0.13813511013527338,-0.03552641283643967,0.2854097298728388,0.26726882878807484,0.8486956870280112
