,cagr_pct,cagr_pct,cagr_pct,cagr_pct,cagr_pct,cagr_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,max_drawdown_pct,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar,sharpe_ratio_dollar,win_rate_pct,win_rate_pct,win_rate_pct,win_rate_pct,win_rate_pct,win_rate_pct
model,CatBoost,ElasticNet,GP Symbolic,LSTM,LightGBM,XGBoost,CatBoost,ElasticNet,GP Symbolic,LSTM,LightGBM,XGBoost,CatBoost,ElasticNet,GP Symbolic,LSTM,LightGBM,XGBoost,CatBoost,ElasticNet,GP Symbolic,LSTM,LightGBM,XGBoost
strategy,,,,,,,,,,,,,,,,,,,,,,,,
Annual Stop Loss,15.546379769620899,6.9938068875021075,6.767006373964124,14.892192013003559,12.78075791250657,11.709942194346334,0.0,0.0,-0.42301729639429664,0.0,-2.2685414010556033,-5.343247192033099,2.3691030871203576,2.203658271982475,1.012883261189135,1.520730049766479,1.628856185154193,1.1330131267069485,100.0,100.0,94.73684210526315,100.0,91.66666666666666,83.33333333333334
Decile 10%/10%,1.8676605831261073,-0.2598953129887671,0.8500837494392233,5.539487208906979,0.46486812625365914,0.6898068254004741,-18.600324101594452,-10.145888471197285,-12.799741845474621,-0.05332972262399422,-9.921778799460824,-11.289240574816633,0.2640765490222311,-0.05354570898556528,0.21357217875126047,0.9054824073611931,0.10654296840503547,0.13813511013527338,75.0,50.0,57.89473684210527,83.33333333333334,66.66666666666666,58.333333333333336
Fixed 100/100,2.5825798742171946,0.6541211920609635,1.6148396456061365,5.5869396485139555,-1.2531842723739528,-1.0215865706305505,-14.229366053342638,-24.609395247556822,-17.60692237403799,-3.1398081557737463,-31.51283484263426,-31.36017592652359,0.3357474491881083,0.11927986191718415,0.25337444597079967,0.7070484749163595,-0.08619227862022076,-0.03552641283643967,75.0,66.66666666666666,47.368421052631575,75.0,50.0,50.0
Hybrid 10%/100,4.194246915979338,3.7104111448658994,4.484192753481664,6.837920600561409,2.5870535775350145,3.800383700787613,-20.52791785500226,-7.679079923669397,-25.70627573169807,-1.773336592403284,-22.021288451929976,-23.3139441088346,0.3851164684032394,0.49596302414317983,0.3883405891201321,0.5729480895167205,0.25133318262418275,0.2854097298728388,75.0,58.333333333333336,63.1578947368421,83.33333333333334,50.0,50.0
Hybrid 10%/100 (50% L/S),4.62172723763421,0.3874527785825199,1.9948518130719295,4.951141578244012,2.527433910995147,2.1110494694876802,-12.085248203688126,-17.52108194279106,-6.582391673334459,-0.9663340310276936,-11.947780509391258,-15.353969061410725,0.5633409353600044,0.09194566999595981,0.39475649608161023,0.6837775241209741,0.3898542855268098,0.26726882878807484,83.33333333333334,66.66666666666666,52.63157894736842,75.0,75.0,66.66666666666666
Monthly Stop Loss,16.232949589334456,5.508673256099406,3.426150822608931,13.741693351973726,12.412486355371133,9.748538968098043,-0.9941076669292356,-8.017025205511272,-20.185953787066538,0.0,-6.531216594670906,-12.00382104599527,1.282942555085316,0.5286360326300541,0.32569978161912233,0.8802093861518807,1.0172416858206437,0.8486956870280112,83.33333333333334,91.66666666666666,84.21052631578947,100.0,83.33333333333334,83.33333333333334
