feature,correlation,abs_correlation,p_value
ni_over_xsga,0.061659272660520875,0.061659272660520875,1.781492689130369e-16
dpact_over_act,0.0616408207538731,0.0616408207538731,1.818619361367099e-16
niadj_over_ppent,0.061639683266639184,0.061639683266639184,1.820932869098683e-16
caps_over_icapt,-0.061581053968680896,0.061581053968680896,1.9441890367487918e-16
fincf_over_lct,-0.061528472134860554,0.061528472134860554,2.061704870676972e-16
fatn_over_cogs,0.061274817184200255,0.061274817184200255,2.7345195799420127e-16
reuna_d_over_cogs,0.061255989056702154,0.061255989056702154,2.7923224203594956e-16
dpvieb_over_ceq,0.06125314697498243,0.06125314697498243,2.801151662294624e-16
txndbl_over_xsga,0.061193865972645506,0.061193865972645506,2.991716263238328e-16
dpact_over_icapt,0.061127903694896096,0.061127903694896096,3.2187989737660937e-16
xrd_over_at,-0.06110961979074743,0.06110961979074743,3.284695453693151e-16
fatn_over_sale,0.061090555457992426,0.061090555457992426,3.354820516511436e-16
rectr_over_xsga,0.06103209061537632,0.06103209061537632,3.579203489383222e-16
ch_over_sale,-0.06100140520252827,0.06100140520252827,3.7028248233170946e-16
niadj_over_xsga,0.06093028440930474,0.06093028440930474,4.0057554099697006e-16
reuna_over_act,0.06063095878699744,0.06063095878699744,5.5717166007751e-16
pi_over_ppent,0.060578443819051996,0.060578443819051996,5.902822778008716e-16
fincf_over_seq,-0.06041152840037832,0.06041152840037832,7.089314025022814e-16
xpr_over_mktcap,0.06039807105167618,0.06039807105167618,7.194622817400094e-16
dpact_over_ceq,0.06018098937920362,0.06018098937920362,9.122537293328922e-16
xrd_over_act,-0.06015094983984558,0.06015094983984558,9.426597435569956e-16
seq_over_ppent,-0.060087849557628595,0.060087849557628595,1.0098178530051921e-15
dp_over_emp,0.06003945052695018,0.06003945052695018,1.0645031103234066e-15
xrd_over_lct,-0.06002139227700852,0.06002139227700852,1.0856454628161404e-15
re_over_act,0.06000999390146949,0.06000999390146949,1.099202900519592e-15
dpvieb_d_over_emp,0.05997030531927684,0.05997030531927684,1.1477233666031709e-15
dp_d_over_xsga,0.05987688307246156,0.05987688307246156,1.2704179503324106e-15
icapt_over_sale,-0.05978890094492586,0.05978890094492586,1.3977386113353543e-15
dpvieb_over_seq,0.05977158491170457,0.05977158491170457,1.4242381461647697e-15
fatb_over_mktcap,0.05970426412546085,0.05970426412546085,1.5320461901259103e-15
fatn_over_xsga,0.05964300505718418,0.05964300505718418,1.6371082065316948e-15
fincf_over_ceq,-0.059630746439738355,0.059630746439738355,1.6589687987984996e-15
xacc_over_sale,-0.05962563631190147,0.05962563631190147,1.6681662755599517e-15
seq_over_sale,-0.05960838749012607,0.05960838749012607,1.6995839981961954e-15
tlcf_over_lt,-0.05959447507002504,0.05959447507002504,1.7253486047460564e-15
revt_over_emp,0.05957356580164678,0.05957356580164678,1.764795849846708e-15
sale_over_emp,0.05957356580164678,0.05957356580164678,1.764795849846708e-15
ib_over_xsga,0.05938662289011015,0.05938662289011015,2.159339277423662e-15
ibc_over_xsga,0.0592775165287602,0.0592775165287602,2.428500944441309e-15
mrc2_over_sale,-0.059248631423545285,0.059248631423545285,2.505125015428446e-15
caps_d_over_sale,-0.05908949177308985,0.05908949177308985,2.9719548493258403e-15
dpact_over_seq,0.05889369895352356,0.05889369895352356,3.665052151176159e-15
sstk_over_emp,-0.058772798094577014,0.058772798094577014,4.170115760498333e-15
dilavx_over_xsga,0.058725194383796434,0.058725194383796434,4.387261495227587e-15
fincf_over_sale,-0.058599499220134695,0.058599499220134695,5.015560140271335e-15
ibadj_over_xsga,0.058549722425686866,0.058549722425686866,5.288157525016211e-15
