Complexity,Loss,Equation
1,0.38120624,"0.11670302"
3,0.363395,"x30 * -0.2901801"
5,0.35126215,"(x42 * -0.29201338) + 0.17668079"
7,0.34320927,"((x14 + x42) * -0.2868098) + 0.12804216"
11,0.34316263,"((x42 * -0.25471836) + 0.06469918) + ((x14 + -0.2116857) * -0.33306977)"
18,0.34089935,"(x42 * -0.25471836) + (0.06469918 + ((x14 + (abs(x42 * (-0.25471836 + 0.06469918)) + -0.27869964)) * -0.33306977))"
