year,predictions_total,monthly_tracking,filtered_out,filter_pct,annual_short_return,monthly_short_return,return_diff,annual_n_short,monthly_n_short
2013,2730,2730,0,0.0,-0.0272807997682476,-0.2216452504976878,-0.1943644507294402,100.0,100.0
2014,2803,2803,0,0.0,0.1792565257130287,0.0963534331784619,-0.08290309253456679,100.0,100.0
2015,2834,2834,0,0.0,0.511550614529277,0.4361755370133215,-0.07537507751595546,100.0,100.0
2016,2777,2777,0,0.0,0.1456751621797224,0.0353025269698852,-0.1103726352098372,100.0,100.0
2017,2741,2741,0,0.0,0.0893571593944566,0.0549518890571576,-0.034405270337298996,100.0,100.0
2018,2741,2741,0,0.0,0.2516505276163052,0.3292344982902921,0.07758397067398692,100.0,100.0
2019,2714,2714,0,0.0,0.2715326894449629,0.0329530495326667,-0.2385796399122962,100.0,100.0
2020,2718,2718,0,0.0,-0.2617236503651842,-0.3213079234940626,-0.05958427312887843,100.0,100.0
2021,2918,2918,0,0.0,0.4735801064143117,0.965437620928268,0.4918575145139563,100.0,100.0
2022,2974,2974,0,0.0,0.2063038677976076,0.1541508158058053,-0.052153051991802285,100.0,100.0
2023,2982,2982,0,0.0,-0.0662955217273364,-0.2238090123178064,-0.15751349059046998,100.0,100.0
2024,2887,2887,0,0.0,-0.1062517320342924,-0.1758643299828222,-0.0696125979485298,100.0,100.0
