year,long_return,short_return,spread,n_long,n_short
2006.0,0.19990252379675927,0.07917366195505884,0.12072886184170042,100,100
2007.0,-0.28458388033203663,0.42500333689572145,-0.7095872172277581,100,100
2008.0,-0.5874538658216794,0.2285279424676321,-0.8159818082893114,100,100
2009.0,0.2456949849834677,-0.6198408786480223,0.86553586363149,100,100
2010.0,0.44921362389801656,-0.3177028469830304,0.766916470881047,100,100
2011.0,-0.09352298366784328,0.1525767202065982,-0.2460997038744415,100,100
2012.0,0.509486215572426,-0.08783723716766945,0.5973234527400955,100,100
2013.0,0.4090979805275555,-0.45955925537429065,0.8686572359018462,100,100
2014.0,-0.18443301767675027,-0.10462568808054613,-0.07980732959620414,100,100
2015.0,-0.304143404796904,0.3341157120264512,-0.6382591168233551,100,100
2016.0,0.056574550374777884,0.037599316956181815,0.01897523341859607,100,100
2017.0,0.1475841043008307,-0.16002903249754533,0.307613136798376,100,100
2018.0,-0.02450768257210896,0.22881914765295114,-0.2533268302250601,100,100
2019.0,-0.13693993380967975,-0.16998036292429097,0.03304042911461122,100,100
2020.0,1.3294572563694742,-0.5579414651825992,1.8873987215520733,100,100
2021.0,-0.11756012127726062,0.5485414891630166,-0.6661016104402773,100,100
2022.0,-0.004337791131933764,0.007247132635031611,-0.011584923766965375,100,100
2023.0,0.01704196247902917,0.2768656896691668,-0.25982372719013763,100,100
2024.0,-0.01720921026969283,0.181287905364791,-0.19849711563448383,100,100
