Metric,Value
Total Years,19
Average Annual Return (%),-1.28
Volatility (%),13.93
Sharpe Ratio,-0.092
Win Rate (%),52.6
Total Return (%),-36.46
Initial Capital ($),"1,000,000"
Final Capital ($),"635,387"
Total P&L ($),"-243,316"
Average Long Return (%),994.24
Average Short Return (%),-996.80
Average Spread (%),1991.04
