ticker,form_year,expected_return,Mkt-RF,SMB,HML,counter
AIR,2003.0,0.5988109716959832,2.3000000000000016,3.329999999999999,-4.250000000000001,2
AIR,2004.0,0.3644632149973087,18.590000000000003,13.179999999999998,7.089999999999999,3
AIR,2005.0,0.3744911145410917,5.81,-0.5800000000000001,13.14,4
AIR,2006.0,0.4341842551383617,5.550000000000001,4.19,7.519999999999999,5
AIR,2007.0,-0.6216654765929854,13.760000000000002,-2.93,-1.5399999999999991,6
AIR,2008.0,0.18033945040388824,-15.749999999999996,-5.889999999999999,-13.569999999999999,7
AIR,2009.0,0.0421878693478993,-25.159999999999997,8.780000000000001,-6.779999999999995,8
AIR,2010.0,0.6220412600891044,15.919999999999998,8.559999999999999,10.479999999999997,9
AIR,2011.0,-0.49523887638213787,28.770000000000003,6.780000000000001,-9.59,10
AIR,2012.0,0.6603161860606608,5.379999999999999,-4.930000000000001,-4.280000000000001,11
AIR,2013.0,0.26817755324932535,20.31,0.6599999999999999,12.989999999999998,12
AIR,2014.0,0.16882742722357155,23.040000000000003,0.7799999999999998,1.0500000000000005,13
AIR,2015.0,-0.2592477772896757,7.630000000000001,1.14,-10.51,14
AIR,2016.0,0.5000263534834612,2.480000000000001,-8.28,-1.5299999999999998,15
AIR,2017.0,0.3347678247339977,17.96,5.220000000000001,4.650000000000002,16
AIR,2018.0,-0.22512489842405387,14.0,6.08,-6.69,17
AIR,2019.0,-0.44614607064783823,8.079999999999998,-12.08,-11.370000000000001,18
AIR,2020.0,0.8740957990936529,8.790000000000003,-2.710000000000001,-32.08,19
AIR,2021.0,0.07874174354461087,38.699999999999996,17.81,13.41,20
AIR,2022.0,0.34524604807242315,-15.35,-15.239999999999998,28.1,21
AIR,2023.0,0.2042437466816518,16.52,-0.5300000000000009,-14.980000000000002,22
AIR,2024.0,-0.20406540643154142,17.32,-13.89,4.389999999999999,23
ADCT,2003.0,0.22594649549333148,2.3000000000000016,3.329999999999999,-4.250000000000001,2
ADCT,2004.0,0.07539590986712448,18.590000000000003,13.179999999999998,7.089999999999999,3
ADCT,2005.0,-0.26607161923565387,5.81,-0.5800000000000001,13.14,4
ADCT,2006.0,0.03644376248956281,5.550000000000001,4.19,7.519999999999999,5
ADCT,2007.0,-0.22575889956442663,13.760000000000002,-2.93,-1.5399999999999991,6
