ticker,form_year,alpha,beta_mkt,beta_smb,beta_hml,r_squared,n_years_used,years_range,mkt_rf,smb,hml,actual_excess_return,expected_return,prediction_error
AIR,2024.0,0.24642929822857945,-0.7706315842948774,0.8348213010855943,0.32545063208098957,0.07643600237079229,22,2003-2024,17.32,-13.89,4.389999999999999,-0.20406540643154142,0.011286511856273072,-0.2153519182878145
AAL,2024.0,0.15285356229781374,-1.6530411806354912,-0.38387715256695043,0.774694459261775,0.26733893740625303,20,2003-2024,17.32,-13.89,4.389999999999999,0.4914116679397499,-0.04612354693511201,0.5375352148748619
CECO,2024.0,0.31781418891812596,-0.7452521599682825,0.16551931070543602,1.5850131718594245,0.16193798342045496,22,2003-2024,17.32,-13.89,4.389999999999999,0.0008531169467717523,0.2353279607992631,-0.23447484385249134
PNW,2024.0,0.11276708314087423,-0.393968774217459,0.7167213871074264,-0.15250072524047426,0.16932350819803188,22,2003-2024,17.32,-13.89,4.389999999999999,0.08473089082323738,-0.061715691060867994,0.14644658188410536
PRG,2024.0,0.24173953905214784,-0.7517221845993995,-0.7795283089091434,0.9017078620478414,0.1731150923752336,22,2003-2024,17.32,-13.89,4.389999999999999,0.17772959439865854,0.25940271393091213,-0.08167311953225359
AAN,2024.0,0.08517147623112155,-0.6964319645865532,0.008019017927200806,-0.2930456847213713,0.13628515618902637,12,2003-2024,17.32,-13.89,4.389999999999999,-0.022244026515630868,-0.049429087184625846,0.027185060668994978
ABT,2024.0,0.0665840098875735,0.31924399960390054,0.1425252690710285,-0.20705127193674053,0.07964243685645833,21,2003-2024,17.32,-13.89,4.389999999999999,0.05251718020847372,0.09299075990698032,-0.040473579698506595
ACET,2024.0,-0.17001517618664844,0.3650008999287235,1.6234916132880692,0.17998700701951387,0.13083236664376763,22,2003-2024,17.32,-13.89,4.389999999999999,-0.2519402668097149,-0.3243985757965497,0.07245830898683481
ACU,2024.0,0.18034144988972178,-0.11210086276088062,1.2311772146660775,-1.1817749270819653,0.1431765662402641,22,2003-2024,17.32,-13.89,4.389999999999999,0.025032995327007465,-0.06196485395647919,0.08699784928348665
BKTI,2024.0,0.1093183260619265,-0.012316579740146069,-1.5526320731963095,0.4780061026620535,0.08077205542502452,19,2006-2024,17.32,-13.89,4.389999999999999,1.6319220117983757,0.34383015732476474,1.288091854473611
AE,2024.0,0.10568574487811504,0.2604919033179865,0.48082160233104465,0.6439287920101424,0.101717562853185,22,2003-2024,17.32,-13.89,4.389999999999999,0.3218651401524039,0.11228529593825345,0.20957984421415046
AMD,2024.0,0.41916268802374457,-1.5944223789336363,0.7205833942171701,-1.27302648980217,0.19490880416657663,22,2003-2024,17.32,-13.89,4.389999999999999,-0.30232976709228454,-0.012966164366641372,-0.28936360272564315
APD,2024.0,0.12583947299997653,0.035407769380412776,-0.031165788274508013,0.46746001934404857,0.08575599450689109,22,2003-2024,17.32,-13.89,4.389999999999999,0.09097829712420284,0.15682252149719692,-0.06584422437299407
AIRT,2024.0,0.39818292449460635,-1.3467263354895997,1.53104420775135,-0.8381525001605692,0.05315263671300663,22,2003-2024,17.32,-13.89,4.389999999999999,-0.11167806662050232,-0.08452701202590379,-0.02715105459459853
ALK,2024.0,0.3473205297185346,-1.574396007385365,0.8328515482044302,0.1307167404421847,0.1934701656291834,22,2003-2024,17.32,-13.89,4.389999999999999,0.5557421490408488,-0.03530947390079404,0.5910516229416429
ATRI,2024.0,0.201133484930967,-0.3876860958574944,1.4501626296664925,0.2778932316177571,0.17353883609806575,22,2003-2024,17.32,-13.89,4.389999999999999,-0.030250045774053325,-0.0552418232642073,0.024991777490153973
MATX,2024.0,0.12939486557936458,0.3434234170346587,1.322963499202337,-0.7498581052913091,0.1863280812184379,22,2003-2024,17.32,-13.89,4.389999999999999,-0.012609687422804071,-0.0278025994517256,0.015192912028921528
ACEL,2024.0,-0.10849249150850801,-0.2986531027433112,-0.0035026168777644584,-0.4043108374107777,0.06131672775146446,7,2006-2024,17.32,-13.89,4.389999999999999,-0.006045508523287918,-0.17748194118166113,0.17143643265837322
ALCO,2024.0,-0.010300701481504502,0.3509361001844944,0.5379663266950119,-0.27424744291951597,0.1263039634772276,22,2003-2024,17.32,-13.89,4.389999999999999,-0.042486720776743,-0.036281554451653965,-0.006205166325089037
HON,2024.0,0.17242453013813955,-0.38367466940954753,0.5381865966465853,-0.03898498123347516,0.05424346765187682,22,2003-2024,17.32,-13.89,4.389999999999999,0.021505819218642253,0.02950651844604567,-0.008000699227403419
SWKS,2024.0,0.2285983826689208,-0.24243171310725858,-0.7311635205754955,-0.1913614866535578,0.03573932874301666,23,2003-2024,17.32,-13.89,4.389999999999999,-0.2030053131105578,0.27976705370258875,-0.48277236681314656
HWM,2024.0,0.10732648481758038,0.2213851717857974,-0.6901062824990715,0.23609026931745253,0.017461067029582167,22,2003-2024,17.32,-13.89,4.389999999999999,0.36399997601440653,0.2518905220330377,0.11210945398136885
HES,2024.0,0.15724387563508602,0.2104594040609052,0.47443997358070455,0.5642755970756426,0.053632025979871156,22,2003-2024,17.32,-13.89,4.389999999999999,-0.13861858644285285,0.15256743079969565,-0.2911860172425485
ABL,2024.0,0.2115671722659997,-2.1125205327493695,4.375519965312209,2.7787298370857103,0.44894702332673764,11,2003-2024,17.32,-13.89,4.389999999999999,-0.1417784479534619,-0.6400948673399943,0.4983164193865324
BEAM,2024.0,0.014156772495474033,-0.22113329796369474,0.7862788861745074,0.1194963314394016,0.03361954131821521,15,2003-2024,17.32,-13.89,4.389999999999999,0.011489604102942481,-0.12811176305128721,0.1396013671542297
ABM,2024.0,0.10025927783789375,-0.24049624233946085,0.5451401600702919,-0.280946241120804,0.08160130395968557,22,2003-2024,17.32,-13.89,4.389999999999999,-0.02651067440593417,-0.029448179554267692,0.0029375051483335225
AEP,2024.0,0.07763178477375787,0.07641601573240767,1.0237953775080415,-0.0390105390381254,0.32147213201013647,22,2003-2024,17.32,-13.89,4.389999999999999,0.023292126429061116,-0.053050701901029784,0.0763428283300909
AM,2024.0,0.23123240972185552,-1.1378416291301379,1.2365131985727222,-0.9507473184844591,0.23564549727842843,17,2003-2024,17.32,-13.89,4.389999999999999,0.009084031013068906,-0.17933125100670322,0.18841528201977212
AMPH,2024.0,0.4806120943664284,-1.9107588970276597,3.116636099440718,1.3076733494854789,0.5252246882596205,11,2003-2024,17.32,-13.89,4.389999999999999,-0.1187312664722438,-0.22582524076866545,0.10709397429642165
