year,long_return,short_return,spread,n_long,n_short
2006.0,0.1708660509416449,0.08660855029192618,0.08425750064971871,350,175
2007.0,-0.1668428608800209,0.37671001953974514,-0.543552880419766,343,171
2008.0,-0.4177326943851744,0.2765080286060757,-0.6942407229912502,325,162
2009.0,0.36208483061918056,-0.19036283157191808,0.5524476621910986,293,146
2010.0,0.3735127442358828,-0.2617056080851373,0.6352183523210202,296,148
2011.0,-0.04476622002371696,0.09171034276806221,-0.13647656279177917,289,144
2012.0,0.37050719817850214,-0.1588446437356383,0.5293518419141404,275,137
2013.0,0.34253650478499925,-0.4138005978218611,0.7563371026068604,273,136
2014.0,-0.1282207628076138,-0.1986277613077652,0.07040699850015139,280,140
2015.0,-0.05616012116328986,0.3428687948792169,-0.3990289160425068,283,141
2016.0,0.16451100411484224,-0.2373424109114381,0.40185341502628036,277,138
2017.0,0.14895014966964393,-0.15832964459370835,0.3072797942633523,274,137
2018.0,0.012341228532351275,0.3016443190702315,-0.2893030905378802,274,137
2019.0,-0.07185437507594186,-0.00448681361068152,-0.06736756146526034,271,135
2020.0,0.631543403339935,-1.0908285580053945,1.7223719613453294,271,135
2021.0,-0.43487496920825364,0.6515681619462992,-1.0864431311545528,291,145
2022.0,-0.07259085240210249,0.14834752587592892,-0.22093837827803142,297,148
2023.0,-0.025726870265798056,0.23184131892875293,-0.257568189194551,298,149
2024.0,0.05620691011395302,0.11629024754137705,-0.060083337427424034,288,144
