batch_size,dropout_rate,epochs,learning_rate,lstm_units,r2_score,mse,counter,year
64,0.2,100,0.01,128,-0.075248388338404,0.3187534240190717,12,2013.0
64,0.3,100,0.01,128,-0.0482864981308837,0.3104674787108001,13,2014.0
64,0.2,100,0.01,64,-0.1188719514699545,0.2465072966376198,14,2015.0
64,0.3,100,0.001,64,-0.2522285092289089,0.2583279856358036,15,2016.0
64,0.3,100,0.01,64,-0.2405451444280117,0.46535709708652,16,2017.0
64,0.3,100,0.01,64,-0.116478387874628,0.5595600918371857,17,2018.0
64,0.3,100,0.01,128,-0.3954759521461695,0.2982470930385747,18,2019.0
64,0.3,100,0.01,64,-0.022123414675309,0.5832601510003843,19,2020.0
64,0.2,100,0.01,128,-0.1396565827620806,2.996378680074001,20,2021.0
64,0.3,100,0.001,128,-0.4144259569780593,0.2488869919728953,21,2022.0
64,0.3,100,0.01,128,-0.0008356287517121,0.4303216187809848,22,2023.0
64,0.3,100,0.01,128,-0.0816933656700911,0.4107681594690794,23,2024.0
