year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.35493503889681566,-0.02373246154533872,0.37866750044215436,272,100,13,4.779411764705882,21,21.0,500000.0,500000.0,1838.235294117647,5000.0,177467.51944840784,-11866.23077266936,165601.28867573847,0.16560128867573848
2014.0,-0.10844364514472822,0.16260392291953152,-0.2710475680642597,280,100,58,20.714285714285715,18,18.0,500000.0,500000.0,1785.7142857142858,5000.0,-54221.82257236411,81301.96145976576,27080.138887401656,0.027080138887401656
2015.0,-0.09651697488565028,0.5063436833126057,-0.602860658198256,283,100,37,13.074204946996467,1,1.0,500000.0,500000.0,1766.7844522968198,5000.0,-48258.48744282514,253171.84165630286,204913.35421347772,0.20491335421347773
2016.0,0.3414358879358549,0.0634090239675515,0.2780268639683034,277,100,12,4.332129963898916,27,27.0,500000.0,500000.0,1805.0541516245487,5000.0,170717.94396792745,31704.511983775752,202422.4559517032,0.2024224559517032
2017.0,0.224379835820728,0.231602273770767,-0.00722243795003899,273,100,12,4.395604395604396,14,14.000000000000002,500000.0,500000.0,1831.5018315018315,5000.0,112189.917910364,115801.1368853835,227991.0547957475,0.2279910547957475
2018.0,-0.14188342818843103,0.3379276960138399,-0.4798111242022709,273,100,59,21.611721611721613,7,7.000000000000001,500000.0,500000.0,1831.5018315018315,5000.0,-70941.71409421551,168963.84800691993,98022.13391270442,0.09802213391270442
2019.0,0.016110734832782646,0.2853744321218195,-0.2692636972890369,271,100,24,8.856088560885608,12,12.0,500000.0,500000.0,1845.018450184502,5000.0,8055.367416391323,142687.21606090976,150742.5834773011,0.15074258347730107
2020.0,0.646148769359341,-0.1444007419949359,0.7905495113542769,271,100,10,3.6900369003690034,45,45.0,500000.0,500000.0,1845.018450184502,5000.0,323074.3846796705,-72200.37099746795,250874.01368220255,0.2508740136822026
2021.0,-0.34145008112871733,0.48263178163082493,-0.8240818627595423,291,100,132,45.36082474226804,5,5.0,500000.0,500000.0,1718.213058419244,5000.0,-170725.04056435867,241315.89081541245,70590.85025105378,0.07059085025105379
2022.0,0.021771734456391714,0.3638428853996784,-0.3420711509432867,297,100,18,6.0606060606060606,8,8.0,500000.0,500000.0,1683.5016835016836,5000.0,10885.867228195857,181921.44269983922,192807.30992803507,0.19280730992803508
2023.0,0.04268164455599328,0.21156871658454623,-0.16888707202855296,298,100,67,22.483221476510067,10,10.0,500000.0,500000.0,1677.8523489932886,5000.0,21340.822277996638,105784.35829227311,127125.18057026976,0.12712518057026975
2024.0,0.01962063088725357,0.31800435556716883,-0.29838372467991525,288,100,20,6.944444444444445,11,11.0,500000.0,500000.0,1736.111111111111,5000.0,9810.315443626785,159002.17778358443,168812.4932272112,0.1688124932272112
