year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,avg_long_months_held,avg_short_months_held,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.3502025213978797,-0.17316118506333283,0.5233637064612126,272,100,19,6.985294117647059,43,43.0,11.672794117647058,9.12,500000.0,500000.0,1838.235294117647,5000.0,175101.26069893985,-86580.59253166642,88520.66816727343,0.08852066816727343
2014.0,-0.11866497129803888,0.10273253788376312,-0.221397509181802,280,100,80,28.57142857142857,33,33.0,10.317857142857143,10.51,500000.0,500000.0,1785.7142857142858,5000.0,-59332.485649019436,51366.26894188156,-7966.216707137879,-0.00796621670713788
2015.0,-0.136669257253746,0.5183121871693863,-0.6549814444231323,283,100,85,30.03533568904594,15,15.0,10.219081272084805,11.34,500000.0,500000.0,1766.7844522968198,5000.0,-68334.628626873,259156.09358469315,190821.46495782014,0.19082146495782012
2016.0,0.34362619910342307,-0.07936923047900747,0.4229954295824305,277,100,16,5.776173285198556,45,45.0,11.75812274368231,9.45,500000.0,500000.0,1805.0541516245487,5000.0,171813.09955171152,-39684.615239503735,132128.4843122078,0.13212848431220778
2017.0,0.22660506939523614,0.3978372682496732,-0.17123219885443705,273,100,19,6.95970695970696,39,39.0,11.684981684981684,9.75,500000.0,500000.0,1831.5018315018315,5000.0,113302.53469761807,198918.6341248366,312221.16882245464,0.31222116882245465
2018.0,-0.14001950867801077,0.45043556608389695,-0.5904550747619077,273,100,86,31.5018315018315,33,33.0,10.344322344322345,9.95,500000.0,500000.0,1831.5018315018315,5000.0,-70009.75433900539,225217.78304194848,155208.0287029431,0.1552080287029431
2019.0,0.002257259076399109,-0.022139412414983742,0.024396671491382853,271,100,54,19.92619926199262,47,47.0,11.062730627306273,10.03,500000.0,500000.0,1845.018450184502,5000.0,1128.6295381995544,-11069.70620749187,-9941.076669292315,-0.009941076669292316
2020.0,0.638950071718718,-0.33116332879887367,0.9701134005175917,271,100,19,7.011070110701106,64,64.0,11.564575645756458,7.69,500000.0,500000.0,1845.018450184502,5000.0,319475.03585935896,-165581.66439943682,153893.37145992214,0.15389337145992213
2021.0,-0.3461849534686046,1.208497403355046,-1.5546823568236505,291,100,153,52.57731958762887,24,24.0,9.810996563573884,11.05,500000.0,500000.0,1718.213058419244,5000.0,-173092.4767343023,604248.701677523,431156.2249432207,0.4311562249432207
2022.0,0.04407014646980032,0.5699302757363715,-0.5258601292665711,297,100,29,9.764309764309765,41,41.0,11.494949494949495,9.44,500000.0,500000.0,1683.5016835016836,5000.0,22035.07323490016,284965.1378681857,307000.21110308584,0.30700021110308584
2023.0,0.05797574539979898,0.08647030414476045,-0.02849455874496147,298,100,82,27.516778523489933,29,28.999999999999996,10.37248322147651,10.55,500000.0,500000.0,1677.8523489932886,5000.0,28987.87269989949,43235.152072380224,72223.02477227972,0.07222302477227972
2024.0,0.06850715730856245,0.3365964990689064,-0.26808934176034394,288,100,18,6.25,28,28.000000000000004,11.48611111111111,9.65,500000.0,500000.0,1736.111111111111,5000.0,34253.57865428123,168298.24953445318,202551.82818873442,0.2025518281887344
