Complexity,Loss,Equation
1,0.49932602,"0.11307925"
3,0.49893594,"x75 / -7.970418"
4,0.4938786,"abs(x5 * x0)"
5,0.48776618,"(x0 - -0.3245388) * 0.35359448"
6,0.4865572,"abs(x5 / (x5 + 2.6405423))"
9,0.48573023,"abs(x5 / ((x5 + abs(x173)) + 2.4217298))"
10,0.4857186,"abs((((-7.8768487 + x5) / 5.7233453) * x5) + x5)"
11,0.48397496,"(((x5 / (x5 + 2.4217298)) + -0.123976946) * -1.2285173) / 1.5721147"
12,0.48175147,"abs((((x5 / (x5 + 2.4217298)) + -0.123976946) * -1.2285173) / 1.5721147)"
