model,Annual Stop Loss,Decile 10%/10%,Fixed 100/100,Hybrid 10%/100,Hybrid 10%/100 (50% L/S),Monthly Stop Loss
CatBoost,2.3691030871203576,0.2640765490222311,0.3357474491881083,0.3851164684032394,0.5633409353600044,1.282942555085316
ElasticNet,2.203658271982475,-0.05354570898556528,0.11927986191718415,0.49596302414317983,0.09194566999595981,0.5286360326300541
GP Symbolic,1.012883261189135,0.21357217875126047,0.25337444597079967,0.3883405891201321,0.39475649608161023,0.32569978161912233
LSTM,1.520730049766479,0.9054824073611931,0.7070484749163595,0.5729480895167205,0.6837775241209741,0.8802093861518807
LightGBM,1.628856185154193,0.10654296840503547,-0.08619227862022076,0.25133318262418275,0.3898542855268098,1.0172416858206437
XGBoost,1.1330131267069485,0.13813511013527338,-0.03552641283643967,0.2854097298728388,0.26726882878807484,0.8486956870280112
