model,strategy,win_rate_pct,cagr_pct,sharpe_ratio_dollar,max_drawdown_pct,total_pnl
CatBoost,Annual Stop Loss,100.0,15.546379769620899,2.3691030871203576,0.0,4663385.384170523
LSTM,Annual Stop Loss,100.0,14.892192013003559,1.520730049766479,0.0,4290371.673961556
LSTM,Monthly Stop Loss,100.0,13.741693351973726,0.8802093861518807,0.0,3688525.4235274643
ElasticNet,Annual Stop Loss,100.0,6.9938068875021075,2.203658271982475,0.0,1250627.8166388776
GP Symbolic,Annual Stop Loss,94.73684210526315,6.767006373964124,1.012883261189135,-0.42301729639429664,2469798.4573275414
LightGBM,Annual Stop Loss,91.66666666666666,12.78075791250657,1.628856185154193,-2.2685414010556033,3234675.2032221304
ElasticNet,Monthly Stop Loss,91.66666666666666,5.508673256099406,0.5286360326300541,-8.017025205511272,903083.9351354479
GP Symbolic,Monthly Stop Loss,84.21052631578947,3.426150822608931,0.32569978161912233,-20.185953787066538,896604.9416082508
XGBoost,Annual Stop Loss,83.33333333333334,11.709942194346334,1.1330131267069485,-5.343247192033099,2776608.140952996
XGBoost,Monthly Stop Loss,83.33333333333334,9.748538968098043,0.8486956870280112,-12.00382104599527,2053408.9108704855
