Complexity,Loss,Equation
1,0.36175302,"0.1059711"
3,0.3546448,"x30 * -0.22566839"
4,0.34808302,"abs(x30 * -0.25109172)"
6,0.34677535,"abs(0.21244153 - x30) * 0.21244153"
7,0.3459963,"(x30 + -0.24264722) * (x30 * 0.21244153)"
9,0.345479,"(x30 + -0.24264722) * ((x30 + -0.24264722) * 0.21244153)"
