depth,iterations,l2_leaf_reg,learning_rate,r2_score,mse,counter,year
6,700,3,0.03,-0.0094167181227402,0.2992378678762123,12,2013.0
6,500,3,0.03,-0.027320298545963,0.3042579900501296,13,2014.0
6,500,3,0.03,-0.2190344343796646,0.2685748646503367,14,2015.0
6,500,3,0.03,-0.1278337344927278,0.2326660147220404,15,2016.0
6,500,3,0.07,-0.0683307280865768,0.4007554973583208,16,2017.0
6,700,3,0.03,-0.042404586429257,0.5224355549096016,17,2018.0
6,500,3,0.03,-0.1985209016841758,0.2561530166990904,18,2019.0
6,500,3,0.03,-0.0043955585184953,0.5731440026855343,19,2020.0
6,500,3,0.05,-0.2170163322102591,3.1997724983947786,20,2021.0
6,500,3,0.03,-0.5781873979645098,0.2777029877817849,21,2022.0
6,700,3,0.03,-0.0613902110686828,0.4563578080798667,22,2023.0
6,700,3,0.07,-0.2016894067170516,0.4563361129102113,23,2024.0
