year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.35750013285416715,-0.012117784615614937,0.36961791746978206,272,100,15,5.514705882352941,24,24.0,500000.0,500000.0,1838.235294117647,5000.0,178750.06642708357,-6058.892307807469,172691.1741192761,0.17269117411927612
2014.0,-0.09705785161060312,0.17160392291953153,-0.2686617745301346,280,100,68,24.285714285714285,18,18.0,500000.0,500000.0,1785.7142857142858,5000.0,-48528.925805301566,85801.96145976576,37273.0356544642,0.0372730356544642
2015.0,-0.08920700296087379,0.5068436833126058,-0.5960506862734796,283,100,46,16.25441696113074,1,1.0,500000.0,500000.0,1766.7844522968198,5000.0,-44603.5014804369,253421.8416563029,208818.34017586597,0.20881834017586598
2016.0,0.343938128466479,0.07699552177408872,0.2669426066923902,277,100,16,5.776173285198556,28,28.000000000000004,500000.0,500000.0,1805.0541516245487,5000.0,171969.06423323948,38497.76088704436,210466.82512028384,0.21046682512028383
2017.0,0.22661261115489428,0.23871591792633207,-0.012103306771437783,273,100,13,4.761904761904762,15,15.0,500000.0,500000.0,1831.5018315018315,5000.0,113306.30557744714,119357.95896316603,232664.26454061316,0.23266426454061317
2018.0,-0.12998046445730302,0.3414276960138398,-0.47140816047114287,273,100,70,25.64102564102564,7,7.000000000000001,500000.0,500000.0,1831.5018315018315,5000.0,-64990.23222865151,170713.8480069199,105723.61577826839,0.10572361577826839
2019.0,0.02103878200029954,0.29137443212181957,-0.27033565012152005,271,100,28,10.33210332103321,12,12.0,500000.0,500000.0,1845.018450184502,5000.0,10519.39100014977,145687.2160609098,156206.60706105956,0.15620660706105957
2020.0,0.6480519275676011,-0.12167841118495529,0.7697303387525564,271,100,11,4.059040590405904,46,46.0,500000.0,500000.0,1845.018450184502,5000.0,324025.96378380054,-60839.20559247764,263186.7581913229,0.2631867581913229
2021.0,-0.3176539980433183,0.48513178163082493,-0.8027857796741432,291,100,145,49.828178694158076,5,5.0,500000.0,500000.0,1718.213058419244,5000.0,-158826.99902165914,242565.89081541248,83738.89179375334,0.08373889179375334
2022.0,0.024877419462429627,0.36834041703116666,-0.34346299756873705,297,100,22,7.4074074074074066,9,9.0,500000.0,500000.0,1683.5016835016836,5000.0,12438.709731214814,184170.20851558333,196608.91824679816,0.19660891824679816
2023.0,0.05450681595811036,0.21682918660396644,-0.16232237064585608,298,100,73,24.496644295302016,11,11.0,500000.0,500000.0,1677.8523489932886,5000.0,27253.40797905518,108414.59330198322,135668.0012810384,0.1356680012810384
2024.0,0.023328453723911624,0.32392740688290833,-0.3005989531589967,288,100,22,7.638888888888889,12,12.0,500000.0,500000.0,1736.111111111111,5000.0,11664.226861955813,161963.70344145416,173627.93030340996,0.17362793030340995
