year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.3038330420536884,-0.3282951499868559,0.6321281920405443,272,272,500000.0,500000.0,1838.235294117647,1838.235294117647,151916.5210268442,-164147.57499342793,-12231.053966583742,-0.012231053966583742
2014.0,0.049758828106075494,-0.07537442135890254,0.12513324946497803,280,280,500000.0,500000.0,1785.7142857142858,1785.7142857142858,24879.414053037748,-37687.21067945127,-12807.796626413525,-0.012807796626413525
2015.0,-0.09199403969112427,0.09221767917139424,-0.18421171886251853,283,283,500000.0,500000.0,1766.7844522968198,1766.7844522968198,-45997.019845562136,46108.83958569712,111.81974013498257,0.00011181974013498257
2016.0,0.2748507595949827,-0.27088504041670725,0.5457358000116899,277,277,500000.0,500000.0,1805.0541516245487,1805.0541516245487,137425.37979749133,-135442.5202083536,1982.859589137719,0.001982859589137719
2017.0,0.22689285852795738,-0.1566365554678211,0.38352941399577845,273,273,500000.0,500000.0,1831.5018315018315,1831.5018315018315,113446.42926397869,-78318.27773391055,35128.151530068135,0.03512815153006813
2018.0,-0.10709360196473236,0.09411922710444612,-0.20121282906917848,273,273,500000.0,500000.0,1831.5018315018315,1831.5018315018315,-53546.80098236618,47059.61355222306,-6487.187430143116,-0.006487187430143117
2019.0,-0.044627039597763006,0.026026704515387564,-0.07065374411315056,271,271,500000.0,500000.0,1845.018450184502,1845.018450184502,-22313.5197988815,13013.352257693781,-9300.16754118772,-0.009300167541187721
2020.0,0.5674509094057446,-0.7416543340197598,1.3091052434255044,271,271,500000.0,500000.0,1845.018450184502,1845.018450184502,283725.4547028723,-370827.1670098799,-87101.71230700758,-0.08710171230700757
2021.0,-0.2269112193066947,0.3617693841933266,-0.5886806035000213,291,291,500000.0,500000.0,1718.213058419244,1718.213058419244,-113455.60965334735,180884.6920966633,67429.08244331594,0.06742908244331594
2022.0,0.018885806690959142,-0.07360860223185337,0.09249440892281251,297,297,500000.0,500000.0,1683.5016835016836,1683.5016835016836,9442.903345479572,-36804.30111592668,-27361.39777044711,-0.02736139777044711
2023.0,-0.0554452631347206,0.08160704631463954,-0.13705230944936014,298,298,500000.0,500000.0,1677.8523489932886,1677.8523489932886,-27722.6315673603,40803.52315731977,13080.891589959469,0.01308089158995947
2024.0,0.05798229889511883,-0.03013539689155858,0.08811769578667741,288,288,500000.0,500000.0,1736.111111111111,1736.111111111111,28991.149447559415,-15067.69844577929,13923.451001780126,0.013923451001780126
