model,strategy,total_capital,avg_stocks_long,avg_stocks_short,total_return_pct,cagr_pct,avg_annual_return_pct,annualized_volatility_pct,sharpe_ratio_dollar,sharpe_ratio_spread,max_drawdown_pct,win_rate_pct,positive_years,total_years,total_pnl,avg_annual_pnl,avg_long_return_pct,avg_short_return_pct,avg_spread_pct,n_features,alpha,l1_ratio,max_iter,test_start_year,test_end_year,n_test_periods,avg_stopped_out,avg_stopped_pct
ElasticNet,Fixed 100/100,1000000,100.0,100.0,12.906817739043946,1.016739616427631,1.075568144920329,9.017181338347747,0.11927986191718415,0.31668539864400885,-24.609395247556833,66.66666666666666,8,12,129068.17739043946,10755.681449203288,9.076762902891673,-6.925626613051017,16.002389515942692,20174,,,,2013,2024,12,,
ElasticNet,Decile 10%/10%,1000000,281.1666666666667,281.1666666666667,-2.3633059747386427,-0.1991081815845286,-0.19694216456155345,3.6780195517561327,-0.05354570898556536,0.3352517206112469,-10.28890672783384,50.0,6,12,-23633.05974738643,-1969.4216456155357,8.113194496495762,-8.507078825618871,16.620273322114635,20174,,,,2013,2024,12,,
ElasticNet,Hybrid 10%/100,1000000,281.1666666666667,100.0,47.88824771066188,3.3144667822559315,3.9906873092218245,8.04634038216073,0.4959630241431798,0.2728487129314085,-7.729091321317311,58.333333333333336,7,12,478882.4771066188,39906.87309221824,8.113194496495762,-6.925626613051017,15.038821109546783,20174,,,,2013,2024,12,,
ElasticNet,Hybrid 10%/100 (50% L/S),1000000,281.1666666666667,100.0,7.125407300668468,0.5752314137538184,0.5937839417223726,6.457987001981322,0.09194566999595982,0.2728487129314085,-17.521081942791056,66.66666666666666,8,12,71254.07300668469,5937.839417223724,8.113194496495762,-6.925626613051017,15.038821109546783,20174,,,,2013,2024,12,,
ElasticNet,Hybrid Stop Loss,1000000,281.1666666666667,100.0,92.61892316970668,5.6148320007907815,7.718243597475557,3.343599005499088,2.308364006802748,0.14507073530699818,0.0,100.0,12,12,926189.2316970668,77182.43597475557,10.59192104624908,4.844566148702031,5.7473548975470505,20174,,,,2013,2024,12,52.66666666666667,13.817227809357238
