year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.3093677844514213,-0.19993453997167762,0.509302324423099,272,100,7,2.5735294117647056,25,25.0,500000.0,500000.0,1838.235294117647,5000.0,154683.89222571068,-99967.26998583881,54716.62223987187,0.054716622239871865
2014.0,0.07221105826961255,0.012578122187205372,0.059632936082407176,280,100,33,11.785714285714285,12,12.0,500000.0,500000.0,1785.7142857142858,5000.0,36105.529134806275,6289.061093602686,42394.59022840896,0.04239459022840896
2015.0,-0.06982097136309301,0.2101231596537177,-0.2799441310168107,283,100,29,10.247349823321555,2,2.0,500000.0,500000.0,1766.7844522968198,5000.0,-34910.4856815465,105061.57982685884,70151.09414531234,0.07015109414531234
2016.0,0.2812676956098022,-0.13224723279394276,0.41351492840374493,277,100,10,3.6101083032490973,25,25.0,500000.0,500000.0,1805.0541516245487,5000.0,140633.8478049011,-66123.61639697138,74510.23140792972,0.07451023140792973
2017.0,0.23420098026215377,-0.03458676744194519,0.26878774770409897,273,100,12,4.395604395604396,15,15.0,500000.0,500000.0,1831.5018315018315,5000.0,117100.49013107689,-17293.383720972597,99807.10641010429,0.09980710641010429
2018.0,-0.07812139477919586,0.2054777643383068,-0.28359915911750266,273,100,47,17.216117216117215,10,10.0,500000.0,500000.0,1831.5018315018315,5000.0,-39060.69738959793,102738.88216915341,63678.18477955548,0.06367818477955547
2019.0,-0.029958916868308545,0.1479844153773528,-0.17794333224566133,271,100,23,8.487084870848708,16,16.0,500000.0,500000.0,1845.018450184502,5000.0,-14979.458434154272,73992.2076886764,59012.749254522125,0.05901274925452212
2020.0,0.5688442387178196,-0.2618940730718597,0.8307383117896794,271,100,4,1.4760147601476015,57,56.99999999999999,500000.0,500000.0,1845.018450184502,5000.0,284422.11935890984,-130947.03653592984,153475.08282298,0.15347508282298
2021.0,-0.17727163240272764,0.43096147997256173,-0.6082331123752893,291,100,82,28.1786941580756,2,2.0,500000.0,500000.0,1718.213058419244,5000.0,-88635.81620136382,215480.73998628085,126844.92378491703,0.12684492378491702
2022.0,0.0664212372684327,0.08450635709014671,-0.018085119821714013,297,100,59,19.865319865319865,19,19.0,500000.0,500000.0,1683.5016835016836,5000.0,33210.61863421635,42253.17854507336,75463.79717928972,0.07546379717928972
2023.0,0.008838329722344083,0.08741701007675678,-0.0785786803544127,298,100,82,27.516778523489933,15,15.0,500000.0,500000.0,1677.8523489932886,5000.0,4419.164861172041,43708.50503837839,48127.66989955043,0.048127669899550425
2024.0,0.08505211666162858,0.030962242427621068,0.05408987423400752,288,100,36,12.5,10,10.0,500000.0,500000.0,1736.111111111111,5000.0,42526.05833081429,15481.121213810535,58007.17954462482,0.05800717954462482
