year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.4032021054317083,-0.3582357500591869,0.7614378554908952,272,272,500000.0,500000.0,1838.235294117647,1838.235294117647,201601.05271585417,-179117.87502959344,22483.177686260722,0.022483177686260722
2014.0,-0.07750128467347876,-0.02927208273668465,-0.048229201936794114,280,280,500000.0,500000.0,1785.7142857142858,1785.7142857142858,-38750.64233673938,-14636.041368342325,-53386.683705081705,-0.053386683705081706
2015.0,-0.1360185300020749,0.33329308183263306,-0.46931161183470793,283,283,500000.0,500000.0,1766.7844522968198,1766.7844522968198,-68009.26500103745,166646.54091631653,98637.27591527908,0.09863727591527909
2016.0,0.3681709625637453,-0.09487105911180589,0.4630420216755512,277,277,500000.0,500000.0,1805.0541516245487,1805.0541516245487,184085.48128187266,-47435.52955590295,136649.95172596973,0.13664995172596972
2017.0,0.10467355869588432,-0.240730388086585,0.34540394678246933,273,273,500000.0,500000.0,1831.5018315018315,1831.5018315018315,52336.77934794216,-120365.1940432925,-68028.41469535034,-0.06802841469535034
2018.0,-0.2291404925455708,0.13286289833511988,-0.36200339088069067,273,273,500000.0,500000.0,1831.5018315018315,1831.5018315018315,-114570.2462727854,66431.44916755994,-48138.79710522546,-0.04813879710522546
2019.0,0.05395315090229911,0.019037963891771786,0.03491518701052732,271,271,500000.0,500000.0,1845.018450184502,1845.018450184502,26976.575451149554,9518.981945885893,36495.557397035445,0.036495557397035444
2020.0,0.9133666959919923,-0.8725523024208701,1.7859189984128623,271,271,500000.0,500000.0,1845.018450184502,1845.018450184502,456683.3479959961,-436276.1512104351,20407.196785561042,0.020407196785561042
2021.0,-0.4006469233005653,0.41075737316681793,-0.8114042964673832,291,291,500000.0,500000.0,1718.213058419244,1718.213058419244,-200323.46165028264,205378.68658340897,5055.22493312633,0.00505522493312633
2022.0,-0.013938706238661636,0.06574175510367379,-0.07968046134233543,297,297,500000.0,500000.0,1683.5016835016836,1683.5016835016836,-6969.353119330818,32870.87755183689,25901.524432506074,0.025901524432506075
2023.0,-0.0002924369544828164,-0.07947477521545103,0.07918233826096821,298,298,500000.0,500000.0,1677.8523489932886,1677.8523489932886,-146.21847724140818,-39737.38760772551,-39883.60608496692,-0.039883606084966924
2024.0,0.005350458157978348,-0.0706688759472103,0.07601933410518866,288,288,500000.0,500000.0,1736.111111111111,1736.111111111111,2675.229078989174,-35334.43797360515,-32659.208894615975,-0.032659208894615974
