year,n_long,n_short,long_return,short_return,spread,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,273,50,0.40233186327259485,-0.36568070323039664,0.7680125665029915,845201.2383900929,154798.76160990715,3095.9752321981423,3095.9752321981427,340051.3890817907,-56606.920004705375,283444.4690770853,0.2834444690770853
2014.0,280,50,-0.07750128467347876,0.02456343179519565,-0.1020647164686744,848484.8484848485,151515.15151515152,3030.3030303030305,3030.3030303030305,-65758.66578355774,3721.732090181159,-62036.93369337657,-0.062036933693376574
2015.0,283,50,-0.1360185300020749,0.4697452783379453,-0.6057638083400202,849849.8498498499,150150.15015015015,3003.0030030030034,3003.003003003003,-115595.32729906066,70532.32407476657,-45063.003224294094,-0.045063003224294094
2016.0,277,50,0.3681709625637453,0.0855784129009758,0.28259254966276953,847094.8012232415,152905.1987767584,3058.103975535168,3058.103975535168,311875.7083491053,13085.384235623209,324961.09258472855,0.32496109258472855
2017.0,274,50,0.10467355869588435,-0.6144183596871474,0.7190919183830318,845679.012345679,154320.98765432098,3086.41975308642,3086.41975308642,88520.23173664293,-94817.64809986843,-6297.416363225493,-0.006297416363225493
2018.0,274,50,-0.2282666187340981,0.3600231798518584,-0.5882897985859565,845679.012345679,154320.98765432098,3086.41975308642,3086.41975308642,-193040.28868253974,55559.13269318802,-137481.15598935174,-0.13748115598935173
2019.0,271,50,0.05404081710112722,0.0894784947629435,-0.03543767766181628,844236.7601246106,155763.2398753894,3115.2647975077884,3115.264797507788,45623.2443439423,13937.460243449144,59560.70458739145,0.05956070458739145
2020.0,271,50,0.9125531759977936,-0.8568293502658553,1.769382526263649,844236.7601246106,155763.2398753894,3115.2647975077884,3115.264797507788,770410.9367458009,-133462.51561773446,636948.4211280665,0.6369484211280665
2021.0,291,50,-0.399269501804087,0.5592360457359947,-0.9585055475400817,853372.4340175954,146627.5659824047,2932.5513196480942,2932.551319648094,-340725.5865835464,81999.42019589365,-258726.16638765277,-0.2587261663876528
2022.0,297,50,-0.00037301816973920747,0.003198321808170788,-0.003571339977909996,855907.7809798272,144092.21902017292,2881.8443804034587,2881.8443804034587,-319.2691539266416,460.8532864799407,141.58413255329913,0.00014158413255329914
2023.0,298,50,0.0003561424989507363,-0.2565703335326437,0.2569264760315944,856321.8390804598,143678.1609195402,2873.5632183908046,2873.563218390804,304.9725996762052,-36863.553668483284,-36558.58106880708,-0.03655858106880708
2024.0,288,50,0.03676221018514522,-0.17455683636295258,0.2113190465480978,852071.0059171598,147928.99408284025,2958.579881656805,2958.579881656805,31324.01341219475,-25822.017213454525,5501.996198740224,0.005501996198740224
