year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.4032021054317083,-0.29831074047517925,0.7015128459068876,272,100,500000.0,500000.0,1838.235294117647,5000.0,201601.05271585417,-149155.3702375896,52445.682478264556,0.05244568247826455
2014.0,-0.07750128467347876,0.060346764296416354,-0.1378480489698951,280,100,500000.0,500000.0,1785.7142857142858,5000.0,-38750.64233673938,30173.382148208177,-8577.260188531203,-0.008577260188531203
2015.0,-0.1360185300020749,0.4906042095785381,-0.626622739580613,283,100,500000.0,500000.0,1766.7844522968198,5000.0,-68009.26500103745,245302.10478926907,177292.83978823162,0.17729283978823163
2016.0,0.3681709625637453,-0.06307030595534208,0.4312412685190874,277,100,500000.0,500000.0,1805.0541516245487,5000.0,184085.48128187266,-31535.152977671038,152550.32830420163,0.15255032830420162
2017.0,0.10467355869588432,-0.3868666237590268,0.49154018245491116,273,100,500000.0,500000.0,1831.5018315018315,5000.0,52336.77934794216,-193433.3118795134,-141096.53253157125,-0.14109653253157126
2018.0,-0.2291404925455708,0.2412012304924171,-0.47034172303798794,273,100,500000.0,500000.0,1831.5018315018315,5000.0,-114570.2462727854,120600.61524620854,6030.368973423145,0.0060303689734231445
2019.0,0.05395315090229911,0.10689451552583414,-0.05294136462353503,271,100,500000.0,500000.0,1845.018450184502,5000.0,26976.575451149554,53447.25776291707,80423.83321406663,0.08042383321406663
2020.0,0.9133666959919923,-0.7733739045843376,1.68674060057633,271,100,500000.0,500000.0,1845.018450184502,5000.0,456683.3479959961,-386686.9522921688,69996.39570382732,0.06999639570382732
2021.0,-0.4006469233005653,0.4541427828387028,-0.8547897061392681,291,100,500000.0,500000.0,1718.213058419244,5000.0,-200323.46165028264,227071.3914193514,26747.929769068753,0.026747929769068753
2022.0,-0.013938706238661636,0.1046667884354962,-0.11860549467415785,297,100,500000.0,500000.0,1683.5016835016836,5000.0,-6969.353119330818,52333.3942177481,45364.041098417285,0.04536404109841728
2023.0,-0.0002924369544828164,-0.1869493748250628,0.18665693787058,298,100,500000.0,500000.0,1677.8523489932886,5000.0,-146.21847724140818,-93474.68741253139,-93620.9058897728,-0.0936209058897728
2024.0,0.005350458157978348,-0.13756618359492787,0.14291664175290622,288,100,500000.0,500000.0,1736.111111111111,5000.0,2675.229078989174,-68783.09179746393,-66107.86271847476,-0.06610786271847476
