year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.4032021054317083,-0.2983107404751793,0.7015128459068876,272,100,731182.7956989248,268817.20430107525,2688.172043010753,2688.1720430107525,294814.4426812491,-80191.05926752131,214623.3834137278,0.2146233834137278
2014.0,-0.07750128467347876,0.06034676429641632,-0.13784804896989508,280,100,736842.1052631579,263157.8947368421,2631.578947368421,2631.578947368421,-57106.2097594054,15880.727446425346,-41225.48231298005,-0.04122548231298005
2015.0,-0.1360185300020749,0.49060420957853823,-0.6266227395806131,283,100,738903.3942558747,261096.60574412535,2610.9660574412533,2610.9660574412537,-100504.55350022766,128095.09388473585,27590.54038450819,0.02759054038450819
2016.0,0.3681709625637453,-0.06307030595534208,0.4312412685190874,277,100,734748.0106100795,265251.98938992043,2652.519893899204,2652.5198938992044,270512.88230810995,-16729.52412608543,253783.35818202453,0.2537833581820245
2017.0,0.10467355869588435,-0.3868666237590268,0.49154018245491116,273,100,731903.4852546917,268096.5147453083,2680.965147453083,2680.9651474530833,76610.9424235293,-103717.59350107958,-27106.651077550283,-0.027106651077550285
2018.0,-0.2291404925455708,0.2412012304924171,-0.47034172303798794,273,100,731903.4852546917,268096.5147453083,2680.965147453083,2680.9651474530833,-167708.72510707998,64665.20924729681,-103043.51585978318,-0.10304351585978318
2019.0,0.05395315090229911,0.10689451552583415,-0.05294136462353504,271,100,730458.2210242588,269541.77897574124,2695.4177897574123,2695.4177897574123,39410.52262674679,28812.537877583327,68223.06050433012,0.06822306050433012
2020.0,0.9133666959919923,-0.7733739045843377,1.68674060057633,271,100,730458.2210242588,269541.77897574124,2695.4177897574123,2695.4177897574123,667176.2118971157,-208456.57805507755,458719.6338420381,0.4587196338420381
2021.0,-0.4006469233005653,0.4541427828387028,-0.8547897061392681,291,100,744245.5242966752,255754.47570332483,2557.544757033248,2557.5447570332485,-298179.67948967905,116149.04931936134,-182030.63017031772,-0.1820306301703177
2022.0,-0.013938706238661636,0.1046667884354962,-0.11860549467415785,297,100,748110.831234257,251889.1687657431,2518.891687657431,2518.891687657431,-10427.69711053528,26364.430336397032,15936.733225861752,0.01593673322586175
2023.0,-0.00029243695448279253,-0.1869493748250628,0.18665693787058,298,100,748743.7185929648,251256.28140703516,2512.5628140703516,2512.5628140703516,-218.96033275344766,-46972.20472991527,-47191.16506266872,-0.04719116506266872
2024.0,0.005350458157978343,-0.13756618359492784,0.1429166417529062,288,100,742268.0412371134,257731.95876288658,2577.319587628866,2577.319587628866,3971.4740966437184,-35455.201957455625,-31483.72786081191,-0.03148372786081191
