year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,avg_long_months_held,avg_short_months_held,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.41227464556643545,-0.2216452504976878,0.6339198960641232,272,100,18,6.61764705882353,48,48.0,11.724264705882353,8.94,500000.0,500000.0,1838.235294117647,5000.0,206137.32278321774,-110822.62524884389,95314.69753437384,0.09531469753437384
2014.0,-0.03751406781041631,0.09635343317846191,-0.13386750098887823,280,100,64,22.857142857142858,32,32.0,10.771428571428572,10.59,500000.0,500000.0,1785.7142857142858,5000.0,-18757.033905208154,48176.71658923096,29419.682684022802,0.029419682684022803
2015.0,-0.15021116390125844,0.4361755370133215,-0.58638670091458,283,100,110,38.869257950530034,20,20.0,9.643109540636042,11.18,500000.0,500000.0,1766.7844522968198,5000.0,-75105.58195062922,218087.76850666077,142982.18655603155,0.14298218655603154
2016.0,0.36848935696553303,0.035302526969885256,0.33318682999564775,277,100,18,6.4981949458483745,45,45.0,11.80505415162455,9.48,500000.0,500000.0,1805.0541516245487,5000.0,184244.67848276653,17651.26348494263,201895.94196770916,0.20189594196770916
2017.0,0.1386593116609108,0.05495188905715762,0.08370742260375319,273,100,40,14.652014652014653,49,49.0,11.223443223443223,9.08,500000.0,500000.0,1831.5018315018315,5000.0,69329.6558304554,27475.94452857881,96805.60035903422,0.09680560035903421
2018.0,-0.2003406771560568,0.3292344982902921,-0.5295751754463489,273,100,99,36.26373626373626,29,28.999999999999996,10.179487179487179,10.6,500000.0,500000.0,1831.5018315018315,5000.0,-100170.3385780284,164617.24914514605,64446.91056711765,0.06444691056711765
2019.0,0.025140466021578305,0.03295304953266679,-0.007812583511088485,271,100,70,25.830258302583026,48,48.0,10.85239852398524,9.91,500000.0,500000.0,1845.018450184502,5000.0,12570.233010789152,16476.524766333394,29046.757777122548,0.029046757777122546
2020.0,0.9072788075619871,-0.3213079234940626,1.2285867310560497,271,100,15,5.535055350553505,39,39.0,11.571955719557195,9.71,500000.0,500000.0,1845.018450184502,5000.0,453639.40378099354,-160653.9617470313,292985.44203396223,0.2929854420339622
2021.0,-0.3166917359235872,0.9654376209282681,-1.2821293568518553,291,100,160,54.98281786941581,17,17.0,9.570446735395189,11.27,500000.0,500000.0,1718.213058419244,5000.0,-158345.86796179358,482718.8104641341,324372.94250234053,0.32437294250234056
2022.0,0.023662896488624862,0.15415081580580534,-0.13048791931718048,297,100,30,10.1010101010101,51,51.0,11.548821548821548,8.95,500000.0,500000.0,1683.5016835016836,5000.0,11831.44824431243,77075.40790290266,88906.85614721509,0.0889068561472151
2023.0,0.08095899858709803,-0.22380901231780645,0.30476801090490446,298,100,73,24.496644295302016,18,18.0,10.54026845637584,11.04,500000.0,500000.0,1677.8523489932886,5000.0,40479.499293549015,-111904.50615890323,-71425.00686535421,-0.07142500686535422
2024.0,0.07115937033170762,-0.17586432998282228,0.24702370031452991,288,100,20,6.944444444444445,4,4.0,11.399305555555555,11.67,500000.0,500000.0,1736.111111111111,5000.0,35579.68516585381,-87932.16499141115,-52352.47982555734,-0.05235247982555734
