Complexity,Loss,Equation
1,0.3579401,"0.10639974"
3,0.34019956,"x30 * -0.28602436"
5,0.33797368,"x30 / (-4.2571306 - x30)"
7,0.33700588,"x30 / ((x157 + -4.2571306) - x30)"
13,0.3366234,"(x30 / ((x91 + (-4.2571306 - (x30 + 0.41458175))) - x30)) * 0.65214866"
