Complexity,Loss,Equation
1,0.52679753,"0.26047206"
3,0.5025275,"x14 * -0.45205665"
4,0.49592075,"abs(x14 * 0.46777833)"
5,0.49489668,"(0.30263373 - x14) * 0.35419136"
6,0.49114606,"abs((x14 * -0.38043714) + 0.09205334)"
10,0.4904903,"abs((0.06809716 - (0.25091615 * x14)) * (1.4839381 + x2))"
12,0.49025443,"abs(((0.06809716 - (x14 * 0.25091615)) * 1.4839381) - (x2 * -0.14182237))"
