Complexity,Loss,Equation
1,0.38728914,"0.10480493"
3,0.36885792,"x30 * -0.27712882"
5,0.3560015,"(x42 + -0.6396907) * -0.27725306"
7,0.3535035,"(x35 + (x42 + -0.6396907)) * -0.27725306"
10,0.35259095,"(0.38252738 / -2.4599779) / ((x42 + -0.81166613) + abs(x42))"
12,0.35212174,"(0.38252738 / -2.4599779) / ((x42 + (0.9070612 / -1.1868159)) + abs(x42))"
