year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,avg_long_months_held,avg_short_months_held,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.38086048651458787,-0.11955402503299956,0.5004145115475874,272,100,19,6.985294117647059,45,45.0,11.705882352941176,9.06,500000.0,500000.0,1838.235294117647,5000.0,190430.24325729394,-59777.01251649978,130653.23074079416,0.13065323074079416
2014.0,-0.06983161021368066,0.11588037214207153,-0.1857119823557522,280,100,71,25.357142857142854,33,33.0,10.521428571428572,10.56,500000.0,500000.0,1785.7142857142858,5000.0,-34915.80510684033,57940.186071035765,23024.380964195436,0.023024380964195436
2015.0,-0.18130621703876756,0.41646581679586697,-0.5977720338346345,283,100,97,34.275618374558306,21,21.0,9.939929328621908,11.14,500000.0,500000.0,1766.7844522968198,5000.0,-90653.10851938378,208232.9083979335,117579.79987854972,0.11757979987854972
2016.0,0.18452709712334606,0.10243738600198869,0.08208971112135736,277,100,46,16.60649819494585,44,44.0,11.216606498194945,9.51,500000.0,500000.0,1805.0541516245487,5000.0,92263.54856167303,51218.693000994346,143482.24156266736,0.14348224156266737
2017.0,0.14850993688490613,0.4206271335262216,-0.2721171966413155,273,100,18,6.593406593406594,39,39.0,11.659340659340659,9.6,500000.0,500000.0,1831.5018315018315,5000.0,74254.96844245307,210313.5667631108,284568.5352055639,0.28456853520556386
2018.0,-0.14888924697271072,0.3581223686070178,-0.5070116155797285,273,100,103,37.72893772893773,37,37.0,9.95970695970696,10.18,500000.0,500000.0,1831.5018315018315,5000.0,-74444.62348635535,179061.1843035089,104616.56081715354,0.10461656081715354
2019.0,-0.08169278646083607,-0.04893154543258236,-0.03276124102825371,271,100,94,34.686346863468636,48,48.0,10.450184501845019,9.78,500000.0,500000.0,1845.018450184502,5000.0,-40846.393230418034,-24465.77271629118,-65312.16594670921,-0.06531216594670922
2020.0,0.7351381891419461,-0.35339001801178066,1.0885282071537268,271,100,34,12.546125461254611,64,64.0,11.140221402214022,7.45,500000.0,500000.0,1845.018450184502,5000.0,367569.094570973,-176695.00900589034,190874.08556508267,0.19087408556508267
2021.0,-0.32182010154360075,1.0113753037872348,-1.3331954053308355,291,100,155,53.264604810996566,27,27.0,9.487972508591065,10.99,500000.0,500000.0,1718.213058419244,5000.0,-160910.05077180036,505687.6518936174,344777.601121817,0.344777601121817
2022.0,0.038943707419745316,0.5016861043712525,-0.4627423969515072,297,100,24,8.080808080808081,56,56.00000000000001,11.612794612794612,8.52,500000.0,500000.0,1683.5016835016836,5000.0,19471.85370987266,250843.05218562623,270314.9058954989,0.2703149058954989
2023.0,0.026374885026484954,-0.14726464299692713,0.1736395280234121,298,100,87,29.194630872483224,24,24.0,10.251677852348994,10.81,500000.0,500000.0,1677.8523489932886,5000.0,13187.442513242477,-73632.32149846356,-60444.878985221076,-0.06044487898522108
2024.0,0.13849563461538347,0.034685222041346934,0.10381041257403653,288,100,34,11.805555555555555,13,13.0,11.04513888888889,10.94,500000.0,500000.0,1736.111111111111,5000.0,69247.81730769173,17342.611020673467,86590.4283283652,0.08659042832836521
