Complexity,Loss,Equation
1,0.3764921,"0.1286649"
3,0.35963824,"x30 * -0.26128754"
5,0.35046947,"(x42 + -0.47516915) * -0.30932695"
7,0.3490506,"0.26130518 * ((x42 * -0.98690975) + 0.59341687)"
8,0.3439368,"-0.2017969 / ((x42 + abs(x42)) + -0.7049709)"
10,0.3435712,"((x42 * -0.98690975) + abs(x21 + 0.59341687)) * 0.26130518"
12,0.34309328,"((x42 * -0.98690975) + abs((x21 * 0.8655449) + 0.59341687)) * 0.26130518"
14,0.34220725,"((0.77923995 / (abs(x42 + x42) + 0.77923995)) * -0.87867814) * (x42 + -0.24181136)"
