Complexity,Loss,Equation
1,0.40102014,"0.11686574"
3,0.37377435,"x63 / -2.286938"
4,0.37332135,"abs(x63) * 0.44373426"
5,0.37131408,"(x266 - x63) / 3.0924203"
7,0.36819708,"(x266 - x63) / (x63 - -3.0924203)"
9,0.35912234,"((x266 - x63) / (x185 - -3.1812031)) - -0.14112107"
11,0.35898823,"(((x266 - x63) / (x185 - -3.1812031)) - -0.14112107) * 0.99079376"
