mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,n_features
0.11597654671372175,0.01313151636143586,0.1344436493362594,0.10504603533442436,0.10843995547048146,1
0.14226265728912957,0.011708394939720198,0.15791814774067747,0.129764903269165,0.13910492085754622,44
0.14587200244495488,0.006306256121980109,0.1535799155286509,0.13813290030291914,0.14590319150329456,144
0.1457356988432137,0.006270609877098804,0.15453702321689533,0.14039517533783608,0.14227489797490966,244
0.1469450608930838,0.00733857710744844,0.1573119378345359,0.14218348472636333,0.14133976011835214,344
0.14597792392176753,0.005576385897023796,0.15384146602721693,0.14152880513718635,0.14256350060089928,444
0.1463189162730656,0.005961165153249018,0.1547488511781967,0.14203057922254092,0.14217731841845915,544
0.14595598441741298,0.007024192823920314,0.15476472930082263,0.13757500067641404,0.14552822327500226,644
0.14614966571126012,0.008889304924118506,0.15821100964629498,0.13704936837384252,0.1431886191136429,744
0.1464541013086328,0.008665016756989776,0.15816274165279753,0.13746855468887553,0.1437310075842253,844
0.1464732123201065,0.008685808160310863,0.15821100932896415,0.13746855455662677,0.14374007307472858,944
0.14647226841360658,0.00868678709472613,0.15821100930070575,0.13746572139982538,0.1437400745402886,1044
0.146460071206484,0.008668050692665547,0.15817158487697025,0.1374685545150912,0.14374007422739055,1144
0.14645912677231035,0.008669030403426448,0.15817158486302263,0.13746572124032175,0.1437400742135867,1244
0.14644438358336986,0.008651886242757652,0.15813358777081032,0.13746855450415785,0.14373100847514142,1344
0.1464455943615888,0.008651350758853347,0.1581317434649514,0.13746496594111868,0.14374007367869635,1444
0.14644646098432168,0.008651919925035646,0.1581335879688992,0.1374657212587599,0.14374007372530595,1544
0.14645516722866236,0.008678216132197374,0.15818555374260357,0.1374649656467659,0.1437149822966176,1644
0.1464591271324822,0.008669030324065638,0.15817158516843488,0.13746572180349148,0.14374007442552017,1744
0.14643515280701036,0.008653947056829587,0.1581317433509838,0.13746779890643268,0.1437059161636146,1844
0.14645898699590953,0.008680523665715175,0.15819342474982634,0.1374685542908326,0.14371498194706966,1944
0.14644646106636297,0.008651919992805035,0.15813358805690048,0.1374657210741249,0.14374007406806355,2044
0.1464370839105458,0.008658210800610593,0.1581396141936604,0.13746572099306797,0.14370591654490905,2144
0.14645960242128117,0.008689252850229978,0.1582079246179171,0.13746496590792334,0.14370591673800304,2244
0.14646170566647468,0.00867529245649418,0.15818555409116997,0.13746855447502848,0.14373100843322562,2344
0.1464648432879145,0.008690695119431387,0.15821382677841855,0.13746572153364378,0.14371498155168116,2444
0.1464600710939322,0.008668050882394581,0.15817158513177298,0.13746855446117567,0.1437400736888479,2544
0.14642761455493605,0.008657377678654385,0.15811862136404808,0.13743321416123178,0.14373100813952833,2644
0.1464741316615623,0.008703253238646654,0.15824169228168217,0.1374657212625361,0.14371498144046868,2744
0.1464574123192617,0.008670091866313569,0.15817342938484236,0.1374677991586899,0.1437310084142529,2844
