feature,ranking
ppegt_over_emp_d,1
ppegt_d_over_xsga,1
ppegt_d_over_mktcap,1
ppeveb_over_seq_pd,1
ppeveb_over_icapt_d,1
pstk_over_icapt_d,1
pstkc_over_at_d,1
pstkc_over_lct_d,1
pstkc_over_mktcap_d,1
pstkn_d_over_xsga,1
pstkr_over_ppent_d,1
pstkr_over_seq_d,1
pstkr_over_sale,1
pstkr_over_xsga_d,1
rdip_over_lt,1
rdip_d_over_dltt,1
re_over_act_pd,1
re_over_lt_d,1
re_d_over_mktcap,1
recch_over_mktcap_d,1
recd_over_sale,1
recd_d_over_ceq,1
rect_over_lct,1
rect_over_cogs,1
rect_over_xsga,1
recta_over_mktcap_d,1
rectr_over_emp,1
reuna_over_dltt,1
spi_over_dltt_d,1
sppe_over_dltt,1
sppe_d_over_sale,1
sstk_over_dltt,1
sstk_over_seq,1
sstk_over_seq_d,1
sstk_over_xsga,1
sstk_d_over_dltt,1
tlcf_over_lct_d,1
tlcf_over_sale_d,1
tlcf_over_mktcap_d,1
tlcf_d_over_at,1
tlcf_d_over_dltt,1
tstk_over_mktcap,1
tstkc_over_ppent_d,1
tstkp_over_lt_d,1
tstkp_over_lct_d,1
tstkp_over_emp_d,1
txbco_over_dltt_d,1
txc_over_xsga,1
txc_over_mktcap,1
txdb_over_lt_d,1
txdfed_over_mktcap,1
txditc_over_at_d,1
txditc_over_lct_pd,1
txditc_over_seq_d,1
txditc_over_mktcap,1
txds_over_act_d,1
txds_over_mktcap,1
txfed_over_seq,1
txndb_over_ppent_d,1
txndba_over_invt,1
txndba_over_cogs,1
txndba_over_xsga,1
txndba_over_emp,1
txndbl_over_xsga_d,1
txndbl_d_over_lct,1
txndbr_over_dltt_d,1
txo_over_ceq_d,1
txpd,1
txpd_over_mktcap,1
txr_over_dltt_d,1
txs_over_mktcap_d,1
txt_over_mktcap_d,1
txw_over_at_d,1
txw_over_ppent_d,1
txw_over_ceq_d,1
txw_d_over_invt,1
wcap,1
wcap_over_icapt_pd,1
wcap_over_emp_d,1
wcap_over_mktcap_d,1
wcap_pd_minus_pd_ceq,1
xacc,1
xacc_over_lct,1
xacc_over_seq,1
xacc_over_mktcap,1
xacc_over_mktcap_d,1
xi_d_over_dltt,1
xidoc_d_over_dltt,1
xint_over_invt,1
xint_over_invt_pd,1
xint_over_mktcap,1
