feature,ranking
cstk_over_mktcap_d,1
cstk_d_over_ppent,1
cstk_pd_minus_pd_at,1
cstk_pd_minus_pd_sale,1
cstk_pd_minus_pd_xsga,1
cstkcv_over_lt_d,1
cstkcv_over_icapt_d,1
cstkcv_over_emp_d,1
cstkcv_d_over_invt,1
cstke_over_xsga_d,1
dc_over_invt_d,1
dc_over_lt_d,1
dc_over_lct_d,1
dclo_over_lct_d,1
dclo_over_mktcap_d,1
dclo_d_over_mktcap,1
dcom_over_invt,1
dcom_over_dltt,1
dcom_over_dltt_d,1
dcpstk_over_ppent_d,1
dcpstk_over_seq_d,1
dcpstk_over_mktcap_d,1
dcvsr_d_over_act,1
dcvsub_over_at_d,1
dcvsub_over_act_d,1
dcvsub_over_invt_d,1
dcvsub_over_sale,1
dcvt_over_dltt,1
dcvt_over_icapt_d,1
dd_over_at_d,1
dd_over_xsga_d,1
dd_over_mktcap_d,1
dd1_over_ceq_d,1
dd1_over_mktcap,1
dd1_over_mktcap_d,1
dd1_pd_minus_pd_invt,1
dd2_over_sale_d,1
dd3_d_over_xsga,1
dd4_over_emp_d,1
dd5_over_mktcap,1
diladj_over_ceq_d,1
diladj_d_over_act,1
dlc_over_invt,1
dlc_over_invt_d,1
dlc_over_mktcap,1
dlc_over_mktcap_d,1
dlc_d_over_lt,1
dlc_pd_minus_pd_at,1
dlc_pd_minus_pd_mktcap,1
dltis_over_dltt_d,1
dltis_d_over_emp,1
dlto_over_dltt,1
dltp_over_ppent_d,1
dltp_over_lct_d,1
dltp_over_dltt,1
dltp_over_cogs_d,1
dltp_over_xsga_d,1
dltp_over_mktcap,1
dltr_over_mktcap,1
dltr_over_mktcap_d,1
dltr_d_over_dltt,1
dltr_pd_minus_pd_seq,1
dltr_pd_minus_pd_xsga,1
dm_over_ppent_d,1
dm_over_dltt,1
dm_over_ceq_d,1
dm_over_xsga_d,1
dm_over_emp_d,1
dm_over_mktcap,1
dm_over_mktcap_d,1
dm_d_over_mktcap,1
dn_over_invt_d,1
dn_over_lt_d,1
dn_over_mktcap_d,1
dn_d_over_mktcap,1
dp_over_at_d,1
dp_over_act_d,1
dp_over_lct_d,1
dp_over_dltt_pd,1
dp_over_sale_d,1
dp_over_xsga,1
dp_over_emp,1
dp_over_mktcap_pd,1
dp_d_over_dltt,1
dp_d_over_mktcap,1
dpact_over_lt,1
dpact_over_xsga,1
dpact_over_xsga_d,1
dpact_d_over_xsga,1
dpact_pd_minus_pd_dltt,1
dpc_over_ppent,1
dpc_over_icapt_d,1
dpc_over_xsga_d,1
dpc_over_mktcap,1
dpc_d_over_xsga,1
dpc_pd_minus_pd_ppent,1
dpc_pd_minus_pd_cogs,1
dpvieb,1
dpvieb_over_at_d,1
dpvieb_over_lct_d,1
dpvieb_over_seq_d,1
dpvieb_over_icapt_d,1
dpvieb_over_sale,1
dpvieb_over_sale_pd,1
dpvieb_over_cogs,1
dpvieb_over_emp,1
dpvieb_over_emp_pd,1
dpvieb_over_mktcap,1
dpvieb_over_mktcap_d,1
dpvieb_over_mktcap_pd,1
dpvieb_d_over_ppent,1
dpvieb_d_over_lt,1
dpvieb_d_over_ceq,1
dpvieb_d_over_cogs,1
dpvieb_d_over_mktcap,1
dpvieb_pd_minus_pd_ceq,1
drc_over_ceq_d,1
drc_over_icapt_d,1
drc_over_sale,1
drc_d_over_dltt,1
drc_d_over_ceq,1
drlt_over_act_d,1
drlt_over_invt,1
drlt_over_invt_d,1
drlt_over_lt_d,1
drlt_over_lct_d,1
drlt_over_dltt_d,1
drlt_over_sale_d,1
drlt_over_cogs_d,1
drlt_over_mktcap_d,1
drlt_d_over_lct,1
ds_over_invt_d,1
dudd_over_act_d,1
dudd_over_seq_d,1
dudd_d_over_invt,1
dv_over_invt_d,1
dv_over_ppent,1
dv_over_icapt_d,1
dvc_over_mktcap,1
dvp_over_act_d,1
dvp_over_invt,1
dvp_over_invt_d,1
dvp_over_ppent,1
dvp_over_dltt_d,1
dvp_over_ceq_d,1
dvp_d_over_invt,1
dvp_d_over_ceq,1
dvpa_over_act_d,1
dvpa_over_invt_d,1
dvpa_over_dltt_d,1
dvpa_over_icapt_d,1
dvpa_over_cogs_d,1
dvpa_over_xsga_d,1
dvpa_over_mktcap_d,1
dvt_over_mktcap_d,1
dxd3_over_mktcap,1
dxd3_over_mktcap_d,1
dxd4_over_dltt,1
dxd4_over_emp_d,1
dxd5_over_dltt,1
ebit_over_emp_d,1
ebitda_over_act_d,1
ebitda_over_invt,1
ebitda_over_seq,1
ebitda_over_seq_d,1
ebitda_over_icapt_d,1
ebitda_over_mktcap,1
ebitda_over_mktcap_d,1
esopct_over_xsga,1
esopct_over_mktcap_d,1
esopct_d_over_xsga,1
esopnr_over_at_d,1
esopnr_over_act_d,1
esopnr_over_lt_d,1
esub_over_lct_d,1
esubc_over_ppent_d,1
exre_over_dltt_d,1
fatb_over_xsga_d,1
fatb_d_over_invt,1
fatc_over_dltt,1
fate_over_at_d,1
fate_over_invt,1
fate_over_lt,1
fate_over_icapt_d,1
fate_over_cogs,1
fate_over_cogs_pd,1
fate_over_xsga,1
fate_over_xsga_pd,1
fate_over_mktcap,1
fate_pd_minus_pd_lct,1
fatl_over_at_d,1
fatl_over_cogs_pd,1
fatl_over_xsga_d,1
fatl_over_emp_d,1
fatl_over_mktcap_d,1
fatl_d_over_sale,1
fatl_pd_minus_pd_act,1
fatl_pd_minus_pd_lt,1
fatn_over_act_d,1
fatn_over_ppent_d,1
fatn_over_lct_d,1
fatn_over_cogs_d,1
fatn_over_xsga_d,1
fatn_over_emp_d,1
fato_over_act_d,1
fato_over_seq_d,1
fato_over_xsga_d,1
fatp_over_lct_d,1
fatp_over_dltt_d,1
fatp_over_mktcap,1
fatp_over_mktcap_d,1
fatp_d_over_mktcap,1
fiao_over_invt_d,1
fiao_over_xsga_d,1
fincf_over_at,1
fincf_over_dltt,1
fincf_over_dltt_d,1
fincf_d_over_invt,1
fopo_over_ppent,1
fopo_over_dltt_d,1
fopo_over_dltt_pd,1
fopox_over_invt_d,1
fopox_over_lt,1
fopox_over_seq,1
fopox_over_emp,1
fopox_over_emp_d,1
gdwl_over_dltt,1
gdwl_over_seq_d,1
gdwl_over_mktcap_d,1
gdwl_pd_minus_pd_mktcap,1
gp_pd,1
gp_over_act,1
gp_over_lt,1
gp_over_dltt,1
gp_over_seq,1
gp_over_icapt,1
gp_over_xsga,1
gp_over_emp,1
gp_over_emp_d,1
gp_over_mktcap,1
gp_over_mktcap_d,1
gp_d_over_ceq,1
gp_pd_minus_pd_lt,1
gp_pd_minus_pd_cogs,1
idit,1
idit_over_act_d,1
idit_over_ppent,1
idit_over_ceq,1
idit_over_xsga,1
idit_over_mktcap,1
idit_d_over_mktcap,1
intan,1
intan_over_invt,1
intan_over_invt_pd,1
intan_over_dltt,1
intan_over_sale,1
intan_over_cogs_pd,1
intan_over_xsga,1
intan_over_mktcap,1
intan_pd_minus_pd_at,1
intan_pd_minus_pd_mktcap,1
intpn,1
intpn_over_icapt_d,1
intpn_over_sale_d,1
intpn_over_emp,1
intpn_over_emp_d,1
intpn_over_mktcap_d,1
