feature,ranking
cld3_over_xsga_d,7
cld3_over_emp_d,7
cld3_over_mktcap_d,7
cld3_d_over_xsga,7
cld4_over_at_d,7
cld4_over_act_d,7
cld4_over_lt_d,7
cld4_over_dltt,7
cld4_over_ceq_d,7
cld4_over_cogs_d,7
cld4_over_xsga_d,7
cld4_d_over_icapt,7
cld5_over_invt,7
cld5_over_ceq_d,7
cld5_over_seq,7
cld5_over_cogs_d,7
cld5_over_xsga_d,7
cld5_over_emp_d,7
cld5_over_mktcap_d,7
cld5_d_over_ceq,7
cstk_over_at_d,7
cstk_over_invt,7
cstk_over_invt_d,7
cstk_over_ppent,7
cstk_over_ppent_pd,7
cstk_over_lct_d,7
cstk_over_ceq_d,7
cstk_over_ceq_pd,7
cstk_over_icapt_d,7
cstk_over_icapt_pd,7
cstk_over_sale,7
cstk_over_sale_d,7
cstk_over_emp_d,7
cstk_d_over_dltt,7
cstk_pd_minus_pd_act,7
cstk_pd_minus_pd_lt,7
cstk_pd_minus_pd_lct,7
cstk_pd_minus_pd_cogs,7
cstk_pd_minus_pd_emp,7
cstkcv_over_at_d,7
cstkcv_over_act_d,9
cstkcv_over_invt_d,7
cstkcv_over_invt_pd,7
cstkcv_over_ppent_pd,7
cstkcv_over_lct_d,8
cstkcv_over_dltt_d,8
cstkcv_over_seq_d,8
cstkcv_over_sale_d,8
cstkcv_over_cogs_d,8
cstkcv_over_xsga_d,8
cstkcv_over_mktcap,8
cstkcv_d_over_dltt,8
cstkcv_pd_minus_pd_dltt,8
cstke_over_invt_d,8
cstke_over_dltt_d,8
cstke_over_xsga,8
cstke_d_over_ceq,8
dc_over_at_d,8
dc_over_act_d,8
dc_over_invt,8
dc_over_ppent_d,8
dc_over_dltt,8
dc_over_dltt_d,8
dc_over_seq_d,8
dc_over_cogs_d,8
dc_over_xsga,8
dc_over_xsga_d,8
dc_over_emp_d,8
dc_over_mktcap_d,8
dc_d_over_xsga,8
dclo,8
dclo_over_act_d,8
dclo_over_invt_d,8
dclo_over_ppent_d,9
dclo_over_lt_d,9
dclo_over_dltt_d,9
dclo_over_seq_d,9
dclo_over_sale_d,9
dclo_over_emp_d,9
dcom_over_ppent,9
dcom_over_ppent_d,9
dcom_over_ceq_d,9
dcom_over_mktcap_d,9
dcom_d_over_invt,9
dcom_d_over_dltt,9
dcpstk_over_at_d,9
dcpstk_over_act_d,9
dcpstk_over_invt,9
dcpstk_over_invt_d,9
dcpstk_over_lt_d,9
dcpstk_over_lct_d,9
dcpstk_over_dltt_d,9
dcpstk_over_ceq,9
dcpstk_over_cogs_d,9
dcpstk_over_xsga_d,9
dcpstk_over_emp_d,9
dcpstk_d_over_mktcap,9
dcvsr_over_at_d,10
dcvsr_over_act_d,10
dcvsr_over_invt,10
dcvsr_over_invt_d,10
dcvsr_over_ppent_d,10
dcvsr_over_lt_d,10
dcvsr_over_lct_d,10
dcvsr_over_dltt,10
dcvsr_over_dltt_d,10
dcvsr_over_ceq_d,10
dcvsr_over_sale,10
dcvsr_over_cogs_d,10
dcvsr_over_xsga_d,10
dcvsr_over_emp_d,10
dcvsr_over_mktcap_d,10
dcvsub_over_invt,10
dcvsub_over_ppent_d,10
dcvsub_over_lt_d,10
dcvsub_over_lct_d,10
dcvsub_over_dltt,10
dcvsub_over_dltt_d,10
dcvsub_over_ceq_d,10
dcvsub_over_cogs_d,10
dcvsub_over_xsga,10
dcvsub_over_xsga_d,10
dcvsub_over_emp_d,8
dcvsub_over_mktcap_d,10
dcvsub_d_over_seq,10
dcvt_over_act_d,10
dcvt_over_invt,10
dcvt_over_invt_d,10
dcvt_over_ppent_d,10
dcvt_over_lt_d,10
dcvt_over_lct_d,10
dcvt_over_dltt_d,10
dcvt_over_ceq_d,10
dcvt_over_sale_d,10
dcvt_over_xsga,10
dcvt_over_xsga_d,10
dcvt_over_emp_d,10
dcvt_d_over_mktcap,10
dd_over_act_d,10
dd_over_invt,10
dd_over_invt_d,10
dd_over_ppent_d,10
dd_over_lt_d,10
dd_over_lct_d,10
dd_over_dltt,10
dd_over_dltt_d,10
dd_over_seq,10
dd_over_seq_d,10
dd_over_icapt_d,10
dd_over_cogs_d,10
dd_over_emp_d,10
dd_d_over_icapt,10
dd1_over_act_d,10
dd1_over_invt,10
dd1_over_invt_d,10
dd1_over_dltt,10
dd1_d_over_invt,9
dd1_d_over_dltt,9
dd1_pd_minus_pd_at,9
dd1_pd_minus_pd_dltt,9
dd1_pd_minus_pd_mktcap,9
dd2_over_dltt,9
dd2_over_mktcap_d,9
dd2_d_over_invt,9
dd2_d_over_xsga,9
dd2_pd_minus_pd_dltt,9
dd2_pd_minus_pd_sale,9
dd2_pd_minus_pd_mktcap,9
dd3_over_dltt,9
dd3_over_mktcap_d,9
dd3_pd_minus_pd_dltt,12
dd3_pd_minus_pd_icapt,9
dd4_over_invt_d,10
dd4_over_dltt,9
dd4_over_dltt_d,10
dd4_over_mktcap_d,10
dd5_over_sale_d,10
dd5_over_mktcap_d,10
dd5_d_over_invt,11
diladj_over_act_d,11
diladj_over_invt_d,11
diladj_over_lct_d,11
diladj_over_dltt,11
diladj_over_dltt_d,11
diladj_over_mktcap_d,11
dlc_over_dltt,11
dlc_pd_minus_pd_invt,11
dlc_pd_minus_pd_dltt,11
dlcch,11
dltis_over_invt,11
dltis_over_dltt,11
dltis_over_emp,11
dlto_over_act_d,11
dlto_over_invt,11
dlto_over_invt_d,11
dlto_over_seq_d,11
dlto_over_icapt,11
dlto_over_sale_d,11
dlto_over_mktcap_d,11
dlto_d_over_invt,11
dlto_d_over_dltt,11
