year,long_return,short_return,spread,n_long,n_short
2006.0,0.2188158041708973,0.11530977518481081,0.10350602898608649,350,175
2007.0,-0.10895844040882921,0.4511380324445027,-0.5600964728533319,343,171
2008.0,-0.39550459954898143,0.24514853963606062,-0.6406531391850421,325,162
2009.0,0.3156929203431518,-0.33929399361209583,0.6549869139552476,293,146
2010.0,0.4302565556426298,-0.18151515655974346,0.6117717122023733,296,148
2011.0,-0.05680959054474292,0.11716707360391022,-0.17397666414865315,289,144
2012.0,0.3720229017750114,-0.13769221178356308,0.5097151135585745,275,137
2013.0,0.37201147884053776,-0.2560092951475904,0.6280207739881282,273,136
2014.0,-0.11335453659270954,-0.02286082809490391,-0.09049370849780564,280,140
2015.0,-0.07607089667469483,0.3884066137053557,-0.4644775103800505,283,141
2016.0,0.21666619996446965,-0.06838268834458347,0.2850488883090531,277,138
2017.0,0.16437858858922266,-0.10970729373036452,0.2740858823195872,274,137
2018.0,-0.007392568941064449,0.3203625846100934,-0.32775515355115786,274,137
2019.0,-0.0904493691636197,0.2126858395327209,-0.3031352086963406,271,135
2020.0,0.7422160574113604,-0.9181424112375831,1.6603584686489437,271,135
2021.0,-0.18207644259653588,0.6616779752471141,-0.84375441784365,291,145
2022.0,0.05346528485329999,0.0304647142207331,0.02300057063256689,297,148
2023.0,0.06571451212564158,0.3536312336302821,-0.28791672150464054,298,149
2024.0,-0.010938315258999472,0.24121054590617913,-0.2521488611651786,288,144
