year,long_return,short_return,spread,n_long,n_short
2006.0,0.3183808960537944,0.11387093762038714,0.20450995843340725,100,100
2007.0,-0.08202014874884239,0.408560706831058,-0.4905808555799004,100,100
2008.0,-0.39685273897905043,0.20717540126354575,-0.6040281402425962,100,100
2009.0,0.2632399922449517,-0.3381255142972514,0.6013655065422031,100,100
2010.0,0.37737800987293263,-0.17654933448619564,0.5539273443591283,100,100
2011.0,-0.08447827955567556,0.19312814951421126,-0.2776064290698868,100,100
2012.0,0.3755323477125011,-0.17013407634861313,0.5456664240611142,100,100
2013.0,0.44640518362848974,-0.29866496197966225,0.745070145608152,100,100
2014.0,-0.16942614168681577,-0.05262698220492487,-0.1167991594818909,100,100
2015.0,-0.12126267980728278,0.3642481661183091,-0.4855108459255919,100,100
2016.0,0.29703243477159985,-0.023213607200426825,0.32024604197202666,100,100
2017.0,0.12905231685902754,-0.13647268548174743,0.265525002340775,100,100
2018.0,-0.11711913439419487,0.3958069836927093,-0.5129261180869041,100,100
2019.0,-0.20257356262147982,0.2117365183793197,-0.4143100810007995,100,100
2020.0,0.6845549312722414,-0.9559973025340265,1.640552233806268,100,100
2021.0,-0.16859670173800026,0.6943251985906527,-0.8629219003286529,100,100
2022.0,0.007752533613516842,0.18662219845796002,-0.17886966484444317,100,100
2023.0,0.014458226313562143,0.34494456397447393,-0.3304863376609118,100,100
2024.0,-0.027772670281369476,0.2913250922960884,-0.31909776257745787,100,100
