year,long_return,short_return,spread,n_long,n_short
2008.0,-0.5874538658216794,0.2285279424676321,-0.8159818082893114,100,100
2009.0,0.24972850141154562,-0.6632168109582918,0.9129453123698374,100,100
2010.0,0.3496319458292077,-0.30999745469482787,0.6596294005240355,100,100
2011.0,-0.12151572872692878,0.06784042957376202,-0.1893561583006908,100,100
2012.0,0.49255533305357246,-0.29989061056998184,0.7924459436235542,100,100
2013.0,0.4112536761764163,-0.28758601348393253,0.6988396896603488,100,100
2014.0,-0.17929914886330559,-0.029627633802804185,-0.14967151506050141,100,100
2015.0,-0.38762439122702574,0.3824590522519243,-0.7700834434789501,100,100
2016.0,0.14486324355522545,-0.21384178034788168,0.3587050239031071,100,100
2017.0,0.2505659400812376,-0.10976269274325355,0.3603286328244912,100,100
2018.0,-0.2912663477165266,0.2733645770517456,-0.5646309247682721,100,100
2019.0,0.1274992663936216,-0.004267041267550799,0.1317663076611724,100,100
2020.0,0.22896419351690547,-1.2966969984383756,1.5256611919552812,100,100
2021.0,-0.289634176077283,0.5893071042948794,-0.8789412803721623,100,100
2022.0,0.07823594072109438,0.05501737745127928,0.023218563269815105,100,100
2023.0,-0.03538051006145654,0.26138572395448856,-0.2967662340159451,100,100
2024.0,0.0664423770028981,0.2401942712036105,-0.1737518942007124,100,100
