Complexity,Loss,Equation
1,0.40375763,"0.19711661"
3,0.39657417,"x14 * -0.43863726"
4,0.39206794,"abs(x14) * 0.4564034"
5,0.38428152,"(0.32485932 - x14) * 0.32485932"
6,0.381695,"abs((x14 - 0.32485932) * -0.35821202)"
