Complexity,Loss,Equation
1,0.52679753,"0.26072884"
3,0.50252753,"x14 * -0.45223668"
4,0.49592128,"abs(x14 * -0.46939108)"
5,0.49487785,"(0.33914176 - x14) * 0.33914176"
6,0.49114504,"abs(0.23087758 - x14) * 0.38620588"
7,0.49114406,"abs((0.23087758 - x14) * abs(0.38293275))"
13,0.49091506,"abs(((x2 + (abs(x6) - -1.7445406)) * -0.24147989) * (x14 - 0.14993179))"
