Complexity,Loss,Equation
1,0.36573726,"0.12205874"
3,0.34936994,"x30 * -0.26836607"
5,0.34081218,"(0.54795116 - x42) * 0.26657465"
12,0.3395124,"(abs(0.44241834 - (x42 * 0.4885797)) / (0.80066425 - x42)) * 0.49353418"
