Complexity,Loss,Equation
1,0.35969913,"0.11308338"
3,0.3586534,"x14 / -2.778971"
4,0.34839025,"abs(x30) * 0.3543393"
5,0.34241956,"0.0374847 / (x30 + 1.1365267)"
6,0.34186816,"0.0374847 / abs(x30 + 1.1151559)"
7,0.34185663,"(-0.04248453 / (x30 + 1.054767)) * -0.3917374"
13,0.33992803,"abs(abs((x14 / 3.2882397) + (0.080551654 * ((x30 + x30) + x162))))"
