year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.3093677844514213,-0.19993453997167762,0.509302324423099,272,100,7,2.5735294117647056,25,25.0,500000.0,500000.0,1838.235294117647,5000.0,154683.89222571068,-99967.26998583881,54716.62223987187,0.054716622239871865
2014.0,0.018407523275161607,0.024657994120715433,-0.006250470845553826,280,100,44,15.714285714285714,9,9.0,500000.0,500000.0,1785.7142857142858,5000.0,9203.761637580803,12328.997060357717,21532.75869793852,0.02153275869793852
2015.0,-0.06140608938174423,0.2227331021686004,-0.2841391915503446,283,100,28,9.89399293286219,4,4.0,500000.0,500000.0,1766.7844522968198,5000.0,-30703.044690872117,111366.5510843002,80663.50639342808,0.08066350639342808
2016.0,0.2940109625872925,-0.13087343779696217,0.4248844003842547,277,100,11,3.9711191335740073,25,25.0,500000.0,500000.0,1805.0541516245487,5000.0,147005.48129364624,-65436.718898481085,81568.76239516516,0.08156876239516517
2017.0,0.1429859048927583,-0.017267326781515185,0.1602532316742735,273,100,25,9.157509157509157,15,15.0,500000.0,500000.0,1831.5018315018315,5000.0,71492.95244637916,-8633.663390757592,62859.28905562157,0.06285928905562158
2018.0,-0.13027062765511438,0.15060984815981096,-0.28088047581492537,273,100,64,23.44322344322344,8,8.0,500000.0,500000.0,1831.5018315018315,5000.0,-65135.31382755719,75304.92407990548,10169.610252348291,0.01016961025234829
2019.0,0.10742912230353036,0.12498430147094904,-0.01755517916741868,271,100,50,18.45018450184502,9,9.0,500000.0,500000.0,1845.018450184502,5000.0,53714.56115176518,62492.15073547452,116206.7118872397,0.1162067118872397
2020.0,0.7885531238434279,-0.16676624707594803,0.9553193709193759,271,100,10,3.6900369003690034,36,36.0,500000.0,500000.0,1845.018450184502,5000.0,394276.56192171393,-83383.12353797401,310893.4383837399,0.3108934383837399
2021.0,-0.08610096576619487,0.4251936684110034,-0.5112946341771983,291,100,68,23.367697594501717,0,0.0,500000.0,500000.0,1718.213058419244,5000.0,-43050.48288309744,212596.8342055017,169546.35132240428,0.16954635132240428
2022.0,0.0664212372684327,0.08450635709014671,-0.018085119821714013,297,100,59,19.865319865319865,19,19.0,500000.0,500000.0,1683.5016835016836,5000.0,33210.61863421635,42253.17854507336,75463.79717928972,0.07546379717928972
2023.0,0.010957231278342113,0.09257427660356385,-0.08161704532522174,298,100,75,25.16778523489933,16,16.0,500000.0,500000.0,1677.8523489932886,5000.0,5478.6156391710565,46287.138301781924,51765.75394095298,0.05176575394095298
2024.0,0.08196425915760584,0.0367268252334658,0.04523743392414004,288,100,33,11.458333333333332,9,9.0,500000.0,500000.0,1736.111111111111,5000.0,40982.129578802924,18363.4126167329,59345.542195535825,0.059345542195535825
