portfolio_type,avg_long_return,avg_short_return,avg_spread,spread_volatility,sharpe_ratio,total_capital,avg_annual_pnl,total_pnl,avg_portfolio_return,portfolio_return_volatility,sharpe_ratio_dollar,n_years,first_year,last_year,avg_long_stopped_out,avg_long_stopped_pct,avg_short_stopped_out,avg_short_stopped_pct
Fixed_Top100,0.1025111103875465,-0.036750903810786606,0.13926201419833314,0.5173049926777749,0.2692067854931343,1000000,32880.10328837993,394561.2394605591,0.03288010328837993,0.08660448066166458,0.37965822365278945,12,2013.0,2024.0,,,,
Decile_10pct,0.09684227462544849,-0.07764228280320212,0.17448455742865063,0.5143480438591572,0.33923441434615303,1000000,9599.995911123175,115199.9509334781,0.009599995911123179,0.05288137248300536,0.18153832739890322,12,2013.0,2024.0,,,,
Hybrid_10pct_100,0.09684227462544849,-0.036750903810786606,0.1335931784362351,0.49272711378525197,0.27113015439710464,1000000,60201.7153529282,722420.5842351384,0.0602017153529282,0.13809625432369044,0.4359402479651513,12,2013.0,2024.0,,,,
Hybrid_10pct_100_5050,0.09684227462544849,-0.036750903810786606,0.1335931784362351,0.49272711378525197,0.27113015439710464,1000000,30045.685407330937,360548.22488797124,0.030045685407330935,0.06222465280623714,0.4828582250332666,12,2013.0,2024.0,,,,
Hybrid_StopLoss,0.12852662218790992,0.05392873513601273,0.07459788705189721,0.39793636878509325,0.1874618479322357,1000000,91227.67866196133,1094732.1439435359,0.09122767866196131,0.08068093058587508,1.1307216959385527,12,2013.0,2024.0,39.5,13.896084768623957,14.583333333333334,14.583333333333334
