year,long_return,short_return,spread,n_long,n_short
2006.0,0.15440182588476734,-0.11837113758700347,0.2727729634717708,350,100
2007.0,-0.22312271722408386,0.183578134148066,-0.40670085137214984,343,100
2008.0,-0.25907559229813737,0.2524595248514544,-0.5115351171495918,325,100
2009.0,0.27738672262497094,-0.2687598596758623,0.5461465823008332,293,100
2010.0,0.42196561978419483,-0.4408685453446111,0.862834165128806,296,100
2011.0,-0.05965064354183266,0.049508450011980606,-0.10915909355381326,289,100
2012.0,0.24698400463520087,-0.0902342455729375,0.33721825020813834,275,100
2013.0,0.330097130073555,-0.2541131783401099,0.584210308413665,273,100
2014.0,0.0509814408814927,-0.04831604071299658,0.09929748159448928,280,100
2015.0,-0.07423146741907576,0.00696918861656842,-0.08120065603564418,283,100
2016.0,0.21980215681974935,-0.24016295406197885,0.4599651108817282,277,100
2017.0,0.21299918390502853,-0.22997996942172574,0.4429791533267543,274,100
2018.0,-0.10625110097711592,0.13360336509222714,-0.23985446606934308,274,100
2019.0,-0.06111685629029541,0.014551941679594433,-0.07566879796988984,271,100
2020.0,0.638180160788277,-0.6080114621742337,1.2461916229625107,271,100
2021.0,-0.41872728852735225,0.3864209043203325,-0.8051481928476847,291,100
2022.0,-0.05707669990756746,-0.05223354850254149,-0.004843151405025968,297,100
2023.0,-0.0498579801759633,0.04073706222273222,-0.09059504239869552,298,100
2024.0,0.03886292733600537,0.031125903429999876,0.007737023906005492,288,100
