Complexity,Loss,Equation
1,0.4037802,"0.08902514"
3,0.38120666,"x59 * 0.24124445"
6,0.3687565,"0.19645086 - abs(x266 * 0.4818474)"
8,0.36835158,"abs(-0.41106242) * (abs(-0.43069968) - abs(x266))"
10,0.36476326,"(abs(0.7335815 - abs(x32)) - abs(x266)) * 0.39173812"
11,0.36455223,"(abs(0.64231575 - abs(x32)) - abs(x266)) * abs(0.40278625)"
