Complexity,Loss,Equation
1,0.36175317,"0.106481045"
3,0.35632727,"x30 / -6.6109962"
4,0.34808666,"abs(x30 / 3.8897452)"
6,0.34737024,"abs(x30 / (-3.8241174 - x30))"
8,0.34607527,"abs(x30 / ((x10 - 0.31625482) * 12.836606))"
10,0.34597713,"abs(x30 / ((x145 + (x30 + 0.1688527)) - -5.6064796))"
12,0.34520334,"abs((0.15995198 - x30) / ((x145 + (x30 + 0.1688527)) - -5.6064796))"
15,0.34519342,"abs(abs(x30 / (((x10 * -34.364613) + 7.7720346) * 40.718792)) * 90.62747) + 0.0038701089"
20,0.3449291,"abs(abs(x30 / ((x10 - -0.9569093) + ((((x10 - 1.279791) * 6.608448) + 7.5277224) * abs(4.549299 - x76)))))"
