Complexity,Loss,Equation
1,0.4037802,"0.088889375"
3,0.3812002,"x59 * 0.24536267"
4,0.38095027,"abs(x59 * -0.24536267)"
5,0.37931636,"(x59 * 0.35435808) - 0.08019439"
6,0.36829025,"0.2241376 - abs(x266 * 0.46855667)"
9,0.36828735,"0.2241376 - (abs(0.46855667 * x266) * abs(x266))"
