year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2006.0,0.16215073578994682,-0.07853966088610954,0.24069039667605635,349,100,18,5.157593123209169,10,10.0,500000.0,500000.0,1432.6647564469913,5000.0,81075.36789497342,-39269.83044305477,41805.537451918644,0.041805537451918645
2007.0,-0.18898928210182475,0.18052893617393906,-0.3695182182757638,343,100,70,20.408163265306122,5,5.0,500000.0,500000.0,1457.725947521866,5000.0,-94494.64105091238,90264.46808696953,-4230.172963942852,-0.0042301729639428525
2008.0,-0.21675212913233602,0.25260068319801027,-0.4693528123303463,324,100,89,27.469135802469136,3,3.0,500000.0,500000.0,1543.20987654321,5000.0,-108376.064566168,126300.34159900513,17924.277032837126,0.017924277032837128
2009.0,0.28128236327827,-0.1637755723007886,0.4450579355790586,293,100,9,3.0716723549488054,20,20.0,500000.0,500000.0,1706.4846416382252,5000.0,140641.181639135,-81887.7861503943,58753.3954887407,0.0587533954887407
2010.0,0.4176645576726661,-0.2674553840365146,0.6851199417091807,296,100,8,2.7027027027027026,32,32.0,500000.0,500000.0,1689.1891891891892,5000.0,208832.27883633305,-133727.69201825728,75104.58681807577,0.07510458681807577
2011.0,-0.04567603367646308,0.09246943945808449,-0.13814547313454756,289,100,36,12.45674740484429,6,6.0,500000.0,500000.0,1730.1038062283737,5000.0,-22838.01683823154,46234.71972904224,23396.702890810702,0.0233967028908107
2012.0,0.25063812220024045,-0.06335237899455241,0.3139905011947929,275,100,8,2.909090909090909,13,13.0,500000.0,500000.0,1818.1818181818182,5000.0,125319.06110012023,-31676.189497276206,93642.87160284402,0.09364287160284403
2013.0,0.308081019745539,-0.2116568315830041,0.5197378513285431,272,100,7,2.5735294117647056,21,21.0,500000.0,500000.0,1838.235294117647,5000.0,154040.5098727695,-105828.41579150205,48212.09408126745,0.048212094081267455
2014.0,0.01087137674536699,0.02103817842982612,-0.01016680168445913,280,100,39,13.928571428571429,7,7.000000000000001,500000.0,500000.0,1785.7142857142858,5000.0,5435.688372683495,10519.08921491306,15954.777587596554,0.015954777587596555
2015.0,-0.06557515367658975,0.2207331021686004,-0.28630825584519015,283,100,21,7.420494699646643,4,4.0,500000.0,500000.0,1766.7844522968198,5000.0,-32787.57683829487,110366.5510843002,77578.97424600532,0.07757897424600532
2016.0,0.29251364489224924,-0.1418245724046791,0.43433821729692834,277,100,7,2.527075812274368,21,21.0,500000.0,500000.0,1805.0541516245487,5000.0,146256.82244612463,-70912.28620233956,75344.53624378507,0.07534453624378507
2017.0,0.13862693004370205,-0.024218099096396255,0.1628450291400983,273,100,21,7.6923076923076925,13,13.0,500000.0,500000.0,1831.5018315018315,5000.0,69313.46502185102,-12109.049548198127,57204.415473652894,0.057204415473652896
2018.0,-0.14137234555699182,0.14660984815981096,-0.2879821937168028,273,100,58,21.245421245421245,8,8.0,500000.0,500000.0,1831.5018315018315,5000.0,-70686.17277849591,73304.92407990548,2618.751301409575,0.0026187513014095747
2019.0,0.09909235855863771,0.1214297767822805,-0.022337418223642783,271,100,43,15.867158671586715,6,6.0,500000.0,500000.0,1845.018450184502,5000.0,49546.17927931886,60714.888391140244,110261.0676704591,0.11026106767045911
2020.0,0.7867081053932433,-0.18432427477827912,0.9710323801715224,271,100,10,3.6900369003690034,33,33.0,500000.0,500000.0,1845.018450184502,5000.0,393354.0526966217,-92162.13738913956,301191.9153074821,0.3011919153074821
2021.0,-0.097193652640288,0.4251936684110034,-0.5223873210512914,291,100,62,21.305841924398624,0,0.0,500000.0,500000.0,1718.213058419244,5000.0,-48596.826320144,212596.8342055017,164000.0078853577,0.1640000078853577
2022.0,0.057117123075814395,0.07597052968208673,-0.018853406606272334,297,100,51,17.17171717171717,15,15.0,500000.0,500000.0,1683.5016835016836,5000.0,28558.561537907197,37985.26484104336,66543.82637895056,0.06654382637895055
2023.0,-0.00022149053958312929,0.08546040401311922,-0.08568189455270235,298,100,60,20.13422818791946,13,13.0,500000.0,500000.0,1677.8523489932886,5000.0,-110.74526979156464,42730.20200655961,42619.45673676804,0.04261945673676804
2024.0,0.07673646550330929,0.0322268252334658,0.044509640269843484,288,100,29,10.069444444444445,9,9.0,500000.0,500000.0,1736.111111111111,5000.0,38368.23275165464,16113.412616732901,54481.645368387544,0.054481645368387545
