year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.27136522392694257,-0.27451124779585623,0.5458764717227989,272,272,500000.0,500000.0,1838.235294117647,1838.235294117647,135682.61196347128,-137255.6238979281,-1573.011934456823,-0.001573011934456823
2014.0,-0.026700061050428117,0.025633466597948455,-0.05233352764837657,280,280,500000.0,500000.0,1785.7142857142858,1785.7142857142858,-13350.030525214059,12816.733298974228,-533.2972262398307,-0.0005332972262398308
2015.0,-0.10429218760932318,0.30376744035011477,-0.40805962795943795,283,283,500000.0,500000.0,1766.7844522968198,1766.7844522968198,-52146.09380466159,151883.7201750574,99737.6263703958,0.0997376263703958
2016.0,0.17408456602934413,-0.1625032911072346,0.33658785713657874,277,277,500000.0,500000.0,1805.0541516245487,1805.0541516245487,87042.28301467207,-81251.6455536173,5790.637461054765,0.005790637461054764
2017.0,0.17443203636022117,-0.12676572183534981,0.301197758195571,273,273,500000.0,500000.0,1831.5018315018315,1831.5018315018315,87216.01818011058,-63382.86091767491,23833.15726243567,0.02383315726243567
2018.0,-0.09288833976453235,0.18776340173504222,-0.28065174149957456,273,273,500000.0,500000.0,1831.5018315018315,1831.5018315018315,-46444.16988226618,93881.70086752111,47437.53098525493,0.04743753098525493
2019.0,-0.012769763313641066,0.07547145776911268,-0.08824122108275374,271,271,500000.0,500000.0,1845.018450184502,1845.018450184502,-6384.881656820533,37735.72888455634,31350.847227735805,0.031350847227735804
2020.0,0.9377816699005502,-0.635141046212678,1.5729227161132282,271,271,500000.0,500000.0,1845.018450184502,1845.018450184502,468890.83495027514,-317570.523106339,151320.31184393616,0.15132031184393616
2021.0,-0.1473916708527425,0.5147717817657403,-0.6621634526184829,291,291,500000.0,500000.0,1718.213058419244,1718.213058419244,-73695.83542637124,257385.89088287018,183690.05545649893,0.18369005545649894
2022.0,0.007663419307400508,0.004065279140107272,0.0035981401672932362,297,297,500000.0,500000.0,1683.5016835016836,1683.5016835016836,3831.709653700254,2032.639570053636,5864.34922375389,0.00586434922375389
2023.0,-0.00347679702002482,0.06646114757509444,-0.06993794459511926,298,298,500000.0,500000.0,1677.8523489932886,1677.8523489932886,-1738.39851001241,33230.57378754722,31492.175277534807,0.031492175277534805
2024.0,0.06376474393258719,0.148948662382823,-0.08518391845023582,288,288,500000.0,500000.0,1736.111111111111,1736.111111111111,31882.371966293595,74474.3311914115,106356.7031577051,0.1063567031577051
