year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.27513553494339255,-0.08227601733865944,0.357411552282052,272,100,5,1.8382352941176472,28,28.000000000000004,500000.0,500000.0,1838.235294117647,5000.0,137567.76747169628,-41138.00866932972,96429.75880236656,0.09642975880236655
2014.0,0.0005137151420022912,0.14377820771472383,-0.14326449257272153,280,100,38,13.571428571428571,16,16.0,500000.0,500000.0,1785.7142857142858,5000.0,256.85757100114563,71889.10385736192,72145.96142836307,0.07214596142836306
2015.0,-0.08246276680275434,0.3743997014202781,-0.45686246822303245,283,100,36,12.7208480565371,5,5.0,500000.0,500000.0,1766.7844522968198,5000.0,-41231.38340137717,187199.85071013906,145968.4673087619,0.1459684673087619
2016.0,0.1778233278572384,0.09841476413642464,0.07940856372081376,277,100,7,2.527075812274368,20,20.0,500000.0,500000.0,1805.0541516245487,5000.0,88911.6639286192,49207.38206821232,138119.0459968315,0.1381190459968315
2017.0,0.17590351541809232,0.09268478607432165,0.08321872934377067,273,100,2,0.7326007326007326,17,17.0,500000.0,500000.0,1831.5018315018315,5000.0,87951.75770904616,46342.39303716082,134294.150746207,0.13429415074620699
2018.0,-0.06911841234695093,0.3495256609543294,-0.41864407330128034,273,100,35,12.82051282051282,7,7.000000000000001,500000.0,500000.0,1831.5018315018315,5000.0,-34559.20617347547,174762.8304771647,140203.62430368923,0.14020362430368924
2019.0,-0.002504732831574287,0.24593147576440255,-0.24843620859597684,271,100,19,7.011070110701106,13,13.0,500000.0,500000.0,1845.018450184502,5000.0,-1252.3664157871435,122965.73788220127,121713.37146641413,0.12171337146641413
2020.0,0.9402014174893615,-0.07835893780145961,1.0185603552908211,271,100,9,3.3210332103321036,33,33.0,500000.0,500000.0,1845.018450184502,5000.0,470100.70874468074,-39179.46890072981,430921.23984395096,0.430921239843951
2021.0,-0.12134076354145314,0.6318060594692302,-0.7531468230106834,291,100,40,13.745704467353953,1,1.0,500000.0,500000.0,1718.213058419244,5000.0,-60670.38177072657,315903.0297346151,255232.64796388854,0.25523264796388856
2022.0,0.01580384809273008,0.18705036464193284,-0.17124651654920275,297,100,12,4.040404040404041,21,21.0,500000.0,500000.0,1683.5016835016836,5000.0,7901.924046365039,93525.18232096641,101427.10636733145,0.10142710636733145
2023.0,0.042062606063288925,0.08016537645270709,-0.038102770389418165,298,100,58,19.463087248322147,11,11.0,500000.0,500000.0,1677.8523489932886,5000.0,21031.303031644464,40082.688226353544,61113.99125799801,0.06111399125799801
2024.0,0.07101382378750534,0.1950562119185216,-0.12404238813101626,288,100,10,3.4722222222222223,17,17.0,500000.0,500000.0,1736.111111111111,5000.0,35506.91189375267,97528.10595926079,133035.01785301347,0.13303501785301347
