year,long_return,short_return,spread,n_long,n_short,n_long_stopped_out,long_stopped_out_pct,n_short_stopped_out,short_stopped_out_pct,avg_long_months_held,avg_short_months_held,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.27362915343531585,-0.21782426605306784,0.4914534194883837,272,100,8,2.941176470588235,46,46.0,11.933823529411764,8.95,500000.0,500000.0,1838.235294117647,5000.0,136814.57671765794,-108912.13302653392,27902.44369112402,0.027902443691124018
2014.0,-0.007073401356572161,0.056128688393617156,-0.06320208975018932,280,100,58,20.714285714285715,28,28.000000000000004,10.846428571428572,10.49,500000.0,500000.0,1785.7142857142858,5000.0,-3536.7006782860803,28064.34419680858,24527.6435185225,0.024527643518522498
2015.0,-0.10594121276780372,0.44556201834313425,-0.551503231110938,283,100,74,26.148409893992934,14,14.000000000000002,10.441696113074205,11.21,500000.0,500000.0,1766.7844522968198,5000.0,-52970.60638390186,222781.00917156713,169810.40278766525,0.16981040278766527
2016.0,0.18063741090299515,0.030349011016761355,0.1502883998862338,277,100,7,2.527075812274368,43,43.0,11.88086642599278,9.69,500000.0,500000.0,1805.0541516245487,5000.0,90318.70545149758,15174.505508380678,105493.21095987826,0.10549321095987825
2017.0,0.18155542360185875,0.05810699460666008,0.12344842899519867,273,100,8,2.93040293040293,30,30.0,11.842490842490843,9.97,500000.0,500000.0,1831.5018315018315,5000.0,90777.71180092938,29053.497303330038,119831.20910425941,0.11983120910425941
2018.0,-0.06545714748060885,0.22480889374674287,-0.2902660412273517,273,100,61,22.344322344322347,38,38.0,10.871794871794872,10.24,500000.0,500000.0,1831.5018315018315,5000.0,-32728.573740304426,112404.44687337143,79675.87313306701,0.07967587313306701
2019.0,-0.009697183786710693,0.024959280078017964,-0.034656463864728655,271,100,45,16.605166051660518,47,47.0,11.250922509225092,10.14,500000.0,500000.0,1845.018450184502,5000.0,-4848.591893355347,12479.640039008982,7631.048145653635,0.0076310481456536355
2020.0,0.9288089478337785,-0.25991958332086246,1.188728531154641,271,100,16,5.904059040590406,56,56.00000000000001,11.608856088560886,8.3,500000.0,500000.0,1845.018450184502,5000.0,464404.4739168893,-129959.79166043123,334444.68225645804,0.334444682256458
2021.0,-0.12496752474171742,1.2949789204900477,-1.4199464452317652,291,100,50,17.18213058419244,10,10.0,11.415807560137457,11.32,500000.0,500000.0,1718.213058419244,5000.0,-62483.76237085871,647489.4602450238,585005.6978741651,0.5850056978741651
2022.0,0.032178076821614804,0.10965900247880271,-0.07748092565718791,297,100,26,8.754208754208754,44,44.0,11.606060606060606,9.28,500000.0,500000.0,1683.5016835016836,5000.0,16089.038410807401,54829.501239401354,70918.53965020875,0.07091853965020875
2023.0,0.049626001447397115,0.0046378032038032705,0.04498819824359385,298,100,77,25.838926174496645,18,18.0,10.325503355704697,11.22,500000.0,500000.0,1677.8523489932886,5000.0,24813.00072369856,2318.9016019016353,27131.902325600193,0.027131902325600192
2024.0,0.11554270837256592,0.31362539271787465,-0.19808268434530873,288,100,11,3.8194444444444446,38,38.0,11.694444444444445,8.91,500000.0,500000.0,1736.111111111111,5000.0,57771.35418628296,156812.69635893733,214584.0505452203,0.21458405054522028
