year,long_return,short_return,spread,n_long,n_short,long_capital,short_capital,position_size_long,position_size_short,dollar_pnl_long,dollar_pnl_short,total_dollar_pnl,portfolio_return
2013.0,0.26271699894014705,-0.37953497683249293,0.6422519757726399,100,100,500000.0,500000.0,5000.0,5000.0,131358.49947007353,-189767.48841624646,-58408.98894617293,-0.058408988946172934
2014.0,-0.025699630855579386,0.007373380429874197,-0.033073011285453584,100,100,500000.0,500000.0,5000.0,5000.0,-12849.815427789694,3686.6902149370985,-9163.125212852596,-0.009163125212852596
2015.0,-0.10924112544843666,0.3415005718275604,-0.45074169727599706,100,100,500000.0,500000.0,5000.0,5000.0,-54620.562724218325,170750.2859137802,116129.72318956186,0.11612972318956186
2016.0,0.12469911382950827,-0.1874952769449835,0.31219439077449174,100,100,500000.0,500000.0,5000.0,5000.0,62349.55691475413,-93747.63847249174,-31398.081557737612,-0.031398081557737614
2017.0,0.1683278309368056,-0.13746326544749368,0.30579109638429924,100,100,500000.0,500000.0,5000.0,5000.0,84163.91546840279,-68731.63272374684,15432.282744655953,0.015432282744655954
2018.0,-0.10309478852238362,0.221692004550421,-0.3247867930728046,100,100,500000.0,500000.0,5000.0,5000.0,-51547.39426119181,110846.0022752105,59298.60801401869,0.05929860801401869
2019.0,0.13638399967234713,0.13519618670295505,0.001187812969392077,100,100,500000.0,500000.0,5000.0,5000.0,68191.99983617356,67598.09335147752,135790.09318765107,0.13579009318765106
2020.0,0.9878226473817814,-0.8057536157015975,1.793576263083379,100,100,500000.0,500000.0,5000.0,5000.0,493911.3236908907,-402876.80785079877,91034.51584009192,0.09103451584009192
2021.0,-0.13304574373447953,0.6274625728996832,-0.7605083166341627,100,100,500000.0,500000.0,5000.0,5000.0,-66522.87186723977,313731.28644984163,247208.41458260186,0.24720841458260187
2022.0,0.007247845427453694,0.04320848510371761,-0.035960639676263915,100,100,500000.0,500000.0,5000.0,5000.0,3623.922713726847,21604.242551858806,25228.165265585652,0.02522816526558565
2023.0,0.048244883429961714,0.02747757447276733,0.020767308957194384,100,100,500000.0,500000.0,5000.0,5000.0,24122.441714980858,13738.787236383665,37861.22895136452,0.037861228951364526
2024.0,0.04177511429317132,0.11062584615656772,-0.0688507318633964,100,100,500000.0,500000.0,5000.0,5000.0,20887.557146585663,55312.92307828386,76200.48022486952,0.07620048022486951
