Complexity,Loss,Equation
1,0.49597827,"0.1118211"
3,0.48753807,"x5 * x65"
4,0.48708147,"abs(x5 * x65)"
5,0.48408982,"(x5 * x65) + 0.14565922"
6,0.48173568,"(abs(x42) + -1.0060179) * -0.22536924"
8,0.47738585,"-0.2787906 * (abs(x152 + x42) + -1.0060179)"
10,0.47713596,"(abs((x266 * x42) - 0.033059616) + -0.72877485) * -0.2787906"
12,0.47675398,"-0.2787906 * (abs(x152 - (x42 * (-0.9184131 / 0.77670026))) + -1.0060179)"
14,0.47662663,"((abs(((x42 * 0.7838102) / -0.6605822) - x152) + -1.0060179) * -0.2787906) * 0.96699965"
