year,long_return,short_return,spread,n_long,n_short
2006.0,0.17177865217463278,-0.11837113758700347,0.29014978976163625,100,100
2007.0,-0.22243854677617006,0.183578134148066,-0.40601668092423604,100,100
2008.0,-0.24051957187778125,0.2524595248514544,-0.4929790967292357,100,100
2009.0,0.219389196952438,-0.2687598596758623,0.4881490566283003,100,100
2010.0,0.32683708745103923,-0.4408685453446111,0.7677056327956504,100,100
2011.0,-0.05723999979681807,0.049508450011980606,-0.10674844980879868,100,100
2012.0,0.19618493619421734,-0.0902342455729375,0.28641918176715486,100,100
2013.0,0.28742084795350303,-0.2541131783401099,0.5415340262936129,100,100
2014.0,0.03642830157018519,-0.04831604071299658,0.08474434228318177,100,100
2015.0,-0.10291350864426618,0.00696918861656842,-0.1098826972608346,100,100
2016.0,0.15032627424829678,-0.24016295406197885,0.39048922831027566,100,100
2017.0,0.21159723226186816,-0.22997996942172574,0.44157720168359393,100,100
2018.0,-0.09818031099274384,0.13360336509222714,-0.23178367608497097,100,100
2019.0,-0.13827029803536453,0.014551941679594433,-0.15282223971495895,100,100
2020.0,0.5826808500345488,-0.6080114621742337,1.1906923122087827,100,100
2021.0,-0.5587589616727433,0.3864209043203325,-0.9451798659930758,100,100
2022.0,-0.007513088761813606,-0.05223354850254149,0.044720459740727886,100,100
2023.0,0.09720486721857383,0.04073706222273222,0.05646780499584161,100,100
2024.0,-0.01595120009312,0.031125903429999876,-0.047077103523119876,100,100
