Complexity,Loss,Equation
1,0.37649152,"0.12949434"
3,0.35947755,"x30 * -0.2789753"
6,0.3556553,"abs(x14 - x17) * 0.22312406"
8,0.3529247,"((x14 - abs(x17)) * -0.14064623) / 0.57716036"
9,0.35291815,"abs((abs(x14) - x17) * 0.19124764) / 0.6648352"
12,0.35233298,"abs((x14 - abs(x14 - abs(x17 / -0.5564107))) * 0.19124764)"
13,0.35186058,"abs(abs((x14 - abs(abs(x14 - (x17 / -0.5564107)))) * 0.19124764))"
